table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New York: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Two or More Races,"118,680","114,869","111,365","107,834","105,115","102,174","99,065","95,720","92,502","89,210","88,538","88,532"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"5,795,791","5,805,805","5,817,382","5,814,477","5,823,938","5,827,265","5,820,660","5,815,329","5,814,518","5,807,783","5,812,766","5,812,752"
...Black,"1,401,662","1,392,037","1,389,051","1,387,639","1,387,598","1,387,370","1,385,772","1,383,207","1,379,411","1,374,191","1,373,270","1,373,148"
...AIAN,"61,627","61,047","60,611","60,222","60,021","59,615","59,255","58,825","58,305","57,835","57,828","57,824"
...Asian,"722,775","707,776","692,328","675,860","661,785","647,455","633,110","617,904","601,431","584,257","579,440","579,440"
...NHPI,"12,408","12,121","11,802","11,513","11,301","11,037","10,737","10,395","10,072","9,681","9,429","9,427"
.HISPANIC,"1,631,955","1,599,134","1,572,338","1,547,642","1,530,175","1,512,580","1,493,530","1,471,859","1,447,442","1,421,040","1,409,334","1,409,275"
..One Race,"1,594,669","1,562,792","1,536,941","1,513,209","1,496,545","1,479,752","1,461,353","1,440,383","1,416,699","1,391,116","1,379,764","1,379,705"
...White,"1,326,995","1,298,635","1,275,512","1,255,108","1,240,675","1,225,991","1,206,991","1,186,031","1,162,915","1,139,238","1,129,909","1,129,884"
...Black,"225,632","223,277","221,456","218,652","216,774","215,228","216,264","216,595","216,464","215,111","213,479","213,449"
...AIAN,"25,001","24,324","23,809","23,589","23,510","23,363","23,238","23,164","22,992","22,787","22,564","22,562"
...Asian,"11,388","11,019","10,723","10,480","10,258","9,952","9,705","9,478","9,278","9,016","8,911","8,911"
...NHPI,"5,653","5,537","5,441","5,380","5,328","5,218","5,155","5,115","5,050","4,964","4,901","4,899"
..Two or More Races,"37,286","36,342","35,397","34,433","33,630","32,828","32,177","31,476","30,743","29,924","29,570","29,570"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,359,976","1,330,786","1,306,773","1,285,532","1,270,398","1,254,981","1,235,385","1,213,805","1,190,015","1,165,666","1,155,950","1,155,925"
...Black,"255,715","252,559","249,887","246,288","243,731","241,438","241,929","241,666","240,859","238,853","237,004","236,974"
...AIAN,"33,576","32,758","32,147","31,750","31,594","31,377","31,143","31,010","30,781","30,351","30,064","30,062"
...Asian,"16,109","15,613","15,205","14,845","14,478","14,078","13,726","13,386","13,105","12,624","12,393","12,393"
...NHPI,"7,433","7,269","7,139","7,013","6,907","6,775","6,693","6,578","6,500","6,279","6,129","6,127"
FEMALE,"10,042,290","10,012,938","9,998,620","9,974,850","9,968,828","9,962,262","9,934,395","9,907,150","9,877,228","9,839,297","9,829,868","9,829,709"
.One Race,"9,878,567","9,853,483","9,843,356","9,823,667","9,821,205","9,818,050","9,793,673","9,770,120","9,743,919","9,710,005","9,701,571","9,701,412"
..White,"7,319,288","7,317,290","7,322,044","7,314,961","7,323,677","7,330,520","7,318,188","7,307,950","7,298,638","7,284,955","7,283,665","7,283,622"
..Black,"1,787,258","1,781,031","1,782,820","1,787,508","1,791,970","1,798,002","1,801,572","1,804,692","1,805,531","1,804,957","1,802,660","1,802,546"
..AIAN,"55,309","54,426","53,743","53,397","53,287","53,023","52,757","52,344","51,892","51,326","51,072","51,072"
..Asian,"706,375","690,649","674,836","658,078","642,686","627,135","611,920","596,046","578,990","560,166","555,702","555,702"
..NHPI,"10,337","10,087","9,913","9,723","9,585","9,370","9,236","9,088","8,868","8,601","8,472","8,470"
.Two or More Races,"163,723","159,455","155,264","151,183","147,623","144,212","140,722","137,030","133,309","129,292","128,297","128,297"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"7,446,701","7,440,956","7,442,128","7,431,521","7,437,110","7,440,955","7,425,641","7,412,181","7,399,770","7,382,801","7,380,480","7,380,437"
..Black,"1,889,068","1,879,716","1,878,474","1,880,262","1,882,170","1,885,838","1,887,036","1,887,657","1,885,962","1,882,788","1,880,110","1,879,996"
..AIAN,"99,511","98,393","97,483","96,826","96,596","96,183","95,697","95,116","94,391","93,462","93,122","93,122"
..Asian,"763,232","745,985","728,666","710,381","693,654","676,789","660,106","642,802","624,190","603,676","598,570","598,570"
..NHPI,"20,861","20,454","20,013","19,616","19,332","18,947","18,553","18,189","17,723","17,139","16,740","16,738"
.NOT HISPANIC,"8,399,860","8,397,714","8,406,324","8,402,547","8,410,263","8,416,678","8,404,790","8,394,962","8,385,607","8,369,739","8,371,544","8,371,401"
..One Race,"8,275,544","8,276,803","8,288,705","8,288,129","8,298,662","8,307,829","8,298,827","8,292,096","8,285,754","8,273,159","8,275,627","8,275,484"
...White,"6,005,076","6,026,563","6,050,956","6,060,487","6,080,359","6,098,366","6,102,277","6,109,418","6,119,710","6,125,893","6,133,499","6,133,466"
...Black,"1,539,157","1,534,806","1,538,241","1,545,078","1,551,142","1,557,992","1,560,384","1,562,667","1,563,365","1,563,728","1,563,073","1,562,963"
...AIAN,"31,631","31,345","31,115","30,910","30,863","30,655","30,484","30,173","29,890","29,561","29,507","29,507"
...Asian,"694,926","679,501","663,920","647,335","632,091","616,738","601,712","585,994","569,112","550,494","546,138","546,138"
...NHPI,"4,754","4,588","4,473","4,319","4,207","4,078","3,970","3,844","3,677","3,483","3,410","3,410"
..Two or More Races,"124,316","120,911","117,619","114,418","111,601","108,849","105,963","102,866","99,853","96,580","95,917","95,917"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"6,097,863","6,116,385","6,137,997","6,144,762","6,162,236","6,177,853","6,179,271","6,183,804","6,191,613","6,195,135","6,202,021","6,201,988"
...Black,"1,608,698","1,601,976","1,603,152","1,607,848","1,612,029","1,617,071","1,617,586","1,617,897","1,616,686","1,615,078","1,614,243","1,614,133"
...AIAN,"66,958","66,540","66,206","65,847","65,734","65,422","65,154","64,653","64,210","63,652","63,583","63,583"
...Asian,"746,749","729,900","712,954","694,956","678,458","661,870","645,533","628,411","610,115","589,935","585,094","585,094"
...NHPI,"13,371","13,079","12,779","12,449","12,189","11,960","11,674","11,339","10,982","10,570","10,332","10,332"
.HISPANIC,"1,642,430","1,615,224","1,592,296","1,572,303","1,558,565","1,545,584","1,529,605","1,512,188","1,491,621","1,469,558","1,458,324","1,458,308"
..One Race,"1,603,023","1,576,680","1,554,651","1,535,538","1,522,543","1,510,221","1,494,846","1,478,024","1,458,165","1,436,846","1,425,944","1,425,928"
...White,"1,314,212","1,290,727","1,271,088","1,254,474","1,243,318","1,232,154","1,215,911","1,198,532","1,178,928","1,159,062","1,150,166","1,150,156"
...Black,"248,101","246,225","244,579","242,430","240,828","240,010","241,188","242,025","242,166","241,229","239,587","239,583"
...AIAN,"23,678","23,081","22,628","22,487","22,424","22,368","22,273","22,171","22,002","21,765","21,565","21,565"
...Asian,"11,449","11,148","10,916","10,743","10,595","10,397","10,208","10,052","9,878","9,672","9,564","9,564"
...NHPI,"5,583","5,499","5,440","5,404","5,378","5,292","5,266","5,244","5,191","5,118","5,062","5,060"
..Two or More Races,"39,407","38,544","37,645","36,765","36,022","35,363","34,759","34,164","33,456","32,712","32,380","32,380"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,348,838","1,324,571","1,304,131","1,286,759","1,274,874","1,263,102","1,246,370","1,228,377","1,208,157","1,187,666","1,178,459","1,178,449"
...Black,"280,370","277,740","275,322","272,414","270,141","268,767","269,450","269,760","269,276","267,710","265,867","265,863"
...AIAN,"32,553","31,853","31,277","30,979","30,862","30,761","30,543","30,463","30,181","29,810","29,539","29,539"
...Asian,"16,483","16,085","15,712","15,425","15,196","14,919","14,573","14,391","14,075","13,741","13,476","13,476"
...NHPI,"7,490","7,375","7,234","7,167","7,143","6,987","6,879","6,850","6,741","6,569","6,408","6,406"
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New York: April 1, 2000 to July 1, 2009 (SC-EST2009-03-36)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
