table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maryland: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...AIAN,"18,217","18,029","17,935","17,775","17,644","17,470","17,360","17,219","16,955","16,751","16,689","16,689"
...Asian,"156,744","152,180","148,161","144,005","139,769","134,912","130,031","125,069","120,149","115,272","114,017","114,017"
...NHPI,"3,528","3,432","3,345","3,261","3,148","3,036","2,957","2,836","2,714","2,595","2,571","2,571"
.HISPANIC,"217,826","208,041","197,561","185,362","172,230","159,985","148,713","138,312","128,376","119,507","118,244","118,244"
..One Race,"212,723","203,183","193,000","181,141","168,378","156,430","145,431","135,256","125,524","116,829","115,604","115,604"
...White,"185,920","177,039","168,343","158,778","148,230","138,016","128,530","119,372","110,210","102,067","100,980","100,980"
...Black,"20,304","19,933","18,819","17,025","15,332","14,043","12,890","12,193","11,893","11,654","11,538","11,538"
...AIAN,"3,350","3,155","2,962","2,785","2,584","2,362","2,188","1,996","1,835","1,677","1,668","1,668"
...Asian,"2,174","2,125","2,007","1,783","1,560","1,417","1,296","1,214","1,141","1,031","1,022","1,022"
...NHPI,975,931,869,770,672,592,527,481,445,400,396,396
..Two or More Races,"5,103","4,858","4,561","4,221","3,852","3,555","3,282","3,056","2,852","2,678","2,640","2,640"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"190,363","181,255","172,314","162,447","151,580","141,106","131,396","122,025","112,695","104,383","103,267","103,267"
...Black,"23,397","22,891","21,562","19,563","17,642","16,163","14,849","13,997","13,573","13,240","13,095","13,095"
...AIAN,"5,147","4,882","4,592","4,323","4,000","3,691","3,420","3,168","2,935","2,732","2,710","2,710"
...Asian,"3,439","3,312","3,131","2,807","2,490","2,264","2,067","1,940","1,797","1,655","1,632","1,632"
...NHPI,"1,304","1,245","1,153","1,039",915,810,733,663,613,562,557,557
FEMALE,"2,935,672","2,915,331","2,904,301","2,895,957","2,883,360","2,864,697","2,841,021","2,812,790","2,778,795","2,745,438","2,738,721","2,738,692"
.One Race,"2,886,963","2,867,870","2,858,167","2,851,168","2,839,943","2,822,868","2,800,636","2,774,020","2,741,585","2,709,912","2,703,539","2,703,510"
..White,"1,820,146","1,815,850","1,816,352","1,820,704","1,824,026","1,823,394","1,819,090","1,810,326","1,797,832","1,785,643","1,782,868","1,782,842"
..Black,"899,051","889,524","883,847","876,631","866,614","855,431","842,744","830,123","815,592","801,247","798,879","798,876"
..AIAN,"10,496","10,220","10,018","9,838","9,607","9,322","9,050","8,856","8,635","8,390","8,357","8,357"
..Asian,"154,875","149,957","145,748","141,902","137,740","132,908","128,049","123,115","118,028","113,233","112,046","112,046"
..NHPI,"2,395","2,319","2,202","2,093","1,956","1,813","1,703","1,600","1,498","1,399","1,389","1,389"
.Two or More Races,"48,709","47,461","46,134","44,789","43,417","41,829","40,385","38,770","37,210","35,526","35,182","35,182"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,860,003","1,854,591","1,853,897","1,857,042","1,859,141","1,857,096","1,851,499","1,841,334","1,827,500","1,813,843","1,810,754","1,810,728"
..Black,"927,836","917,441","910,858","902,750","891,831","879,615","865,997","852,343","836,840","821,463","818,882","818,879"
..AIAN,"24,598","24,190","23,884","23,563","23,182","22,706","22,258","21,841","21,360","20,836","20,758","20,758"
..Asian,"172,076","166,712","162,009","157,634","152,965","147,520","142,125","136,554","130,848","125,402","124,085","124,085"
..NHPI,"4,941","4,806","4,622","4,465","4,238","4,021","3,849","3,640","3,450","3,273","3,240","3,240"
.NOT HISPANIC,"2,742,365","2,730,343","2,728,563","2,729,999","2,727,822","2,719,135","2,704,663","2,685,294","2,660,089","2,634,689","2,629,049","2,629,020"
..One Race,"2,698,431","2,687,464","2,686,760","2,689,255","2,688,162","2,680,836","2,667,570","2,649,614","2,625,791","2,601,902","2,596,574","2,596,545"
...White,"1,656,377","1,659,776","1,668,083","1,680,058","1,691,704","1,699,442","1,702,869","1,701,969","1,697,627","1,692,775","1,690,911","1,690,885"
...Black,"879,834","870,521","865,745","860,031","851,423","841,274","829,528","817,466","803,134","788,966","786,713","786,710"
...AIAN,"7,740","7,629","7,579","7,527","7,453","7,328","7,194","7,129","7,059","6,936","6,911","6,911"
