table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arkansas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...NHPI,"2,328","2,204","2,094","1,967","1,865","1,737","1,670","1,603","1,505","1,422","1,393","1,393"
.HISPANIC,"79,894","75,789","71,210","66,180","60,257","54,788","50,576","46,236","42,235","38,365","38,014","38,014"
..One Race,"78,424","74,441","69,965","65,028","59,227","53,875","49,751","45,501","41,572","37,777","37,427","37,427"
...White,"73,034","69,389","65,236","60,628","55,235","50,239","46,381","42,417","38,709","35,126","34,786","34,786"
...Black,"3,422","3,181","2,961","2,736","2,463","2,239","2,069","1,886","1,749","1,606","1,597","1,597"
...AIAN,"1,278","1,224","1,164","1,095","1,006",922,849,774,710,653,652,652
...Asian,437,416,393,372,344,312,298,280,268,260,260,260
...NHPI,253,231,211,197,179,163,154,144,136,132,132,132
..Two or More Races,"1,470","1,348","1,245","1,152","1,030",913,825,735,663,588,587,587
..Race alone or in combination:1,,,,,,,,,,,,
...White,"74,324","70,570","66,320","61,636","56,149","51,037","47,101","43,065","39,293","35,637","35,297","35,297"
...Black,"3,880","3,611","3,356","3,095","2,783","2,519","2,325","2,123","1,953","1,790","1,778","1,778"
...AIAN,"2,186","2,053","1,948","1,818","1,658","1,505","1,365","1,243","1,141","1,037","1,038","1,038"
...Asian,788,735,692,641,567,524,489,442,410,389,389,389
...NHPI,389,357,324,298,271,241,233,204,191,181,183,183
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arkansas: April 1, 2000 to July 1, 2009 (SC-EST2009-03-05)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
