table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Indiana: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.HISPANIC,"188,624","182,054","174,337","166,020","156,604","147,692","140,178","132,798","126,370","118,557","117,314","117,312"
..One Race,"185,367","178,989","171,465","163,330","154,126","145,407","138,062","130,852","124,579","116,957","115,733","115,731"
...White,"173,964","168,251","161,338","153,690","145,089","136,923","130,012","123,257","117,349","110,213","109,047","109,045"
...Black,"6,867","6,468","6,104","5,817","5,465","5,142","4,890","4,618","4,404","4,122","4,086","4,086"
...AIAN,"2,517","2,378","2,247","2,154","2,036","1,926","1,837","1,740","1,656","1,541","1,526","1,526"
...Asian,"1,306","1,204","1,117","1,036",937,843,772,708,658,598,593,593
...NHPI,713,688,659,633,599,573,551,529,512,483,481,481
..Two or More Races,"3,257","3,065","2,872","2,690","2,478","2,285","2,116","1,946","1,791","1,600","1,581","1,581"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"176,860","170,975","163,886","156,084","147,302","138,965","131,895","124,987","118,946","111,628","110,444","110,442"
...Black,"8,368","7,877","7,411","7,029","6,582","6,174","5,844","5,493","5,202","4,823","4,785","4,785"
...AIAN,"3,942","3,708","3,529","3,356","3,140","2,977","2,807","2,656","2,510","2,311","2,294","2,294"
...Asian,"2,176","2,014","1,856","1,740","1,571","1,404","1,293","1,171","1,083",981,970,970
...NHPI,"1,028",994,943,887,832,785,733,697,662,622,610,610
FEMALE,"3,258,425","3,241,262","3,221,056","3,200,186","3,176,746","3,158,871","3,144,419","3,129,695","3,118,569","3,103,176","3,098,029","3,098,011"
.One Race,"3,218,393","3,202,357","3,183,368","3,163,953","3,141,897","3,125,351","3,112,132","3,098,620","3,088,720","3,074,526","3,069,662","3,069,644"
..White,"2,853,952","2,843,984","2,831,236","2,818,042","2,803,587","2,793,062","2,785,501","2,777,426","2,772,733","2,764,294","2,760,625","2,760,607"
..Black,"305,694","301,793","297,623","293,357","288,048","284,171","280,591","277,121","273,815","269,841","269,025","269,025"
..AIAN,"9,879","9,677","9,448","9,236","8,966","8,742","8,536","8,391","8,197","7,976","7,943","7,943"
..Asian,"47,342","45,444","43,650","41,947","39,983","38,114","36,284","34,500","32,843","31,326","30,984","30,984"
..NHPI,"1,526","1,459","1,411","1,371","1,313","1,262","1,220","1,182","1,132","1,089","1,085","1,085"
.Two or More Races,"40,032","38,905","37,688","36,233","34,849","33,520","32,287","31,075","29,849","28,650","28,367","28,367"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,891,146","2,880,104","2,866,200","2,851,631","2,835,868","2,824,092","2,815,372","2,806,141","2,800,287","2,790,704","2,786,791","2,786,773"
..Black,"326,322","321,693","316,745","311,524","305,333","300,628","296,240","292,010","287,924","283,211","282,231","282,231"
..AIAN,"23,662","23,287","22,870","22,405","21,901","21,443","21,023","20,679","20,260","19,839","19,801","19,801"
..Asian,"56,680","54,490","52,363","50,292","47,938","45,720","43,579","41,473","39,490","37,659","37,168","37,168"
..NHPI,"3,177","3,039","2,942","2,845","2,726","2,607","2,496","2,416","2,317","2,209","2,190","2,190"
.NOT HISPANIC,"3,096,373","3,085,501","3,072,500","3,059,410","3,044,284","3,034,526","3,026,939","3,018,874","3,013,597","3,004,992","3,000,802","3,000,787"
..One Race,"3,059,360","3,049,441","3,037,489","3,025,683","3,011,761","3,003,157","2,996,646","2,989,658","2,985,484","2,977,935","2,974,009","2,973,994"
...White,"2,705,076","2,700,622","2,694,360","2,688,357","2,681,555","2,678,496","2,677,244","2,675,314","2,675,997","2,673,744","2,670,971","2,670,956"
...Black,"299,153","295,647","291,828","287,830","282,835","279,263","275,940","272,708","269,619","265,922","265,138","265,138"
...AIAN,"7,690","7,617","7,513","7,393","7,222","7,104","6,979","6,925","6,816","6,692","6,668","6,668"
