table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Carolina: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Race alone or in combination:1,,,,,,,,,,,,
...White,"103,595","97,498","90,080","82,309","75,515","70,245","65,041","60,290","55,253","50,427","49,956","49,956"
...Black,"9,202","8,938","8,543","7,960","7,100","6,254","5,735","5,648","5,539","5,374","5,338","5,338"
...AIAN,"2,553","2,421","2,296","1,994","1,784","1,659","1,548","1,491","1,393","1,262","1,252","1,252"
...Asian,"1,808","1,692","1,586","1,401","1,179","1,078",977,907,816,713,723,723
...NHPI,954,913,853,761,678,621,583,540,485,437,436,436
FEMALE,"2,340,108","2,310,177","2,268,948","2,226,874","2,185,400","2,157,154","2,132,260","2,109,352","2,088,920","2,068,296","2,062,982","2,063,083"
.One Race,"2,314,163","2,285,341","2,245,522","2,204,944","2,164,891","2,137,595","2,113,670","2,091,818","2,072,382","2,052,855","2,047,696","2,047,796"
..White,"1,589,512","1,566,834","1,537,730","1,506,175","1,475,341","1,454,225","1,436,244","1,419,751","1,404,402","1,390,234","1,387,523","1,387,565"
..Black,"682,299","677,686","669,000","662,052","654,629","650,020","645,574","641,803","639,071","634,903","632,690","632,748"
..AIAN,"9,574","9,328","8,956","8,572","8,241","8,025","7,791","7,568","7,324","7,057","7,032","7,032"
..Asian,"31,462","30,192","28,604","26,991","25,578","24,286","23,073","21,767","20,680","19,823","19,614","19,614"
..NHPI,"1,316","1,301","1,232","1,154","1,102","1,039",988,929,905,838,837,837
.Two or More Races,"25,945","24,836","23,426","21,930","20,509","19,559","18,590","17,534","16,538","15,441","15,286","15,287"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,611,330","1,587,712","1,557,379","1,524,536","1,492,491","1,470,536","1,451,749","1,434,326","1,418,114","1,403,000","1,400,165","1,400,208"
..Black,"696,150","690,861","681,308","673,435","665,189","660,007","654,988","650,624","647,297","642,480","640,168","640,226"
..AIAN,"18,928","18,430","17,732","16,982","16,293","15,862","15,360","14,896","14,395","13,852","13,781","13,782"
..Asian,"38,823","37,208","35,203","33,132","31,249","29,643","28,130","26,498","25,127","23,926","23,673","23,673"
..NHPI,"3,113","3,011","2,844","2,658","2,469","2,355","2,218","2,083","1,984","1,851","1,845","1,845"
.NOT HISPANIC,"2,249,157","2,224,842","2,190,799","2,156,451","2,121,934","2,099,229","2,079,455","2,061,444","2,045,663","2,029,585","2,024,647","2,024,744"
..One Race,"2,225,040","2,201,728","2,168,952","2,135,935","2,102,698","2,080,841","2,061,928","2,044,889","2,030,021","2,014,941","2,010,153","2,010,249"
...White,"1,511,042","1,493,567","1,470,980","1,446,142","1,421,091","1,404,543","1,391,050","1,379,188","1,368,225","1,358,251","1,355,862","1,355,900"
...Black,"674,230","669,815","661,483","655,036","648,376","644,497","640,467","636,790","634,147","630,070","627,903","627,961"
...AIAN,"8,179","8,012","7,752","7,567","7,402","7,262","7,096","6,923","6,730","6,530","6,506","6,506"
...Asian,"30,636","29,392","27,857","26,349","25,019","23,772","22,586","21,309","20,254","19,469","19,261","19,261"
...NHPI,953,942,880,841,810,767,729,679,665,621,621,621
..Two or More Races,"24,117","23,114","21,847","20,516","19,236","18,388","17,527","16,555","15,642","14,644","14,494","14,495"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,531,494","1,513,156","1,489,453","1,463,437","1,437,276","1,419,982","1,405,751","1,393,028","1,381,268","1,370,435","1,367,929","1,367,968"
...Black,"687,091","682,070","672,943","665,672","658,259","653,861","649,314","645,090","641,904","637,222","634,957","635,015"
...AIAN,"16,860","16,473","15,939","15,457","14,962","14,636","14,260","13,864","13,440","12,990","12,926","12,927"
...Asian,"37,363","35,806","33,897","31,989","30,256","28,737","27,290","25,712","24,393","23,307","23,050","23,050"
...NHPI,"2,375","2,310","2,178","2,065","1,948","1,859","1,765","1,652","1,586","1,494","1,489","1,489"
.HISPANIC,"90,951","85,335","78,149","70,423","63,466","57,925","52,805","47,908","43,257","38,711","38,335","38,339"
..One Race,"89,123","83,613","76,570","69,009","62,193","56,754","51,742","46,929","42,361","37,914","37,543","37,547"
...White,"78,470","73,267","66,750","60,033","54,250","49,682","45,194","40,563","36,177","31,983","31,661","31,665"
...Black,"8,069","7,871","7,517","7,016","6,253","5,523","5,107","5,013","4,924","4,833","4,787","4,787"
...AIAN,"1,395","1,316","1,204","1,005",839,763,695,645,594,527,526,526
...Asian,826,800,747,642,559,514,487,458,426,354,353,353
...NHPI,363,359,352,313,292,272,259,250,240,217,216,216
..Two or More Races,"1,828","1,722","1,579","1,414","1,273","1,171","1,063",979,896,797,792,792
..Race alone or in combination:1,,,,,,,,,,,,
...White,"79,836","74,556","67,926","61,099","55,215","50,554","45,998","41,298","36,846","32,565","32,236","32,240"
...Black,"9,059","8,791","8,365","7,763","6,930","6,146","5,674","5,534","5,393","5,258","5,211","5,211"
...AIAN,"2,068","1,957","1,793","1,525","1,331","1,226","1,100","1,032",955,862,855,855
...Asian,"1,460","1,402","1,306","1,143",993,906,840,786,734,619,623,623
...NHPI,738,701,666,593,521,496,453,431,398,357,356,356
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""some other race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Carolina: April 1, 2000 to July 1, 2009 (SC-EST2009-03-45)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
