table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Utah: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...AIAN,"21,763","21,170","20,646","19,855","19,112","18,662","18,370","18,083","17,743","17,506","17,357","17,357"
...Asian,"34,601","33,023","31,434","29,916","28,408","27,278","26,144","25,045","24,001","22,905","22,611","22,611"
...NHPI,"15,058","14,549","14,023","13,336","12,825","12,339","11,958","11,545","11,176","10,748","10,658","10,658"
.HISPANIC,"181,656","173,650","163,674","152,323","142,351","135,208","128,716","122,514","115,837","109,326","107,917","107,917"
..One Race,"178,763","170,931","161,167","150,031","140,236","133,222","126,840","120,740","114,179","107,791","106,406","106,406"
...White,"169,244","162,065","153,012","142,613","133,401","126,836","120,848","115,116","108,934","102,938","101,598","101,598"
...Black,"4,285","3,836","3,375","2,955","2,601","2,345","2,131","1,918","1,705","1,481","1,468","1,468"
...AIAN,"3,645","3,527","3,375","3,149","2,990","2,853","2,729","2,611","2,497","2,391","2,366","2,366"
...Asian,"1,007",939,863,795,741,700,664,637,609,580,577,577
...NHPI,582,564,542,519,503,488,468,458,434,401,397,397
..Two or More Races,"2,893","2,719","2,507","2,292","2,115","1,986","1,876","1,774","1,658","1,535","1,511","1,511"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"171,883","164,547","155,306","144,692","135,329","128,645","122,570","116,730","110,446","104,337","102,984","102,984"
...Black,"5,090","4,581","4,066","3,585","3,183","2,879","2,643","2,397","2,159","1,889","1,865","1,865"
...AIAN,"5,121","4,936","4,681","4,368","4,114","3,913","3,739","3,581","3,413","3,254","3,217","3,217"
...Asian,"1,837","1,703","1,542","1,410","1,301","1,233","1,148","1,087","1,033",958,948,948
...NHPI,"1,034",974,916,866,818,774,731,702,661,602,587,587
FEMALE,"1,383,598","1,355,586","1,323,618","1,285,210","1,244,271","1,214,458","1,185,175","1,163,621","1,142,758","1,119,664","1,114,154","1,114,138"
.One Race,"1,359,825","1,333,010","1,302,211","1,265,168","1,225,502","1,196,744","1,168,414","1,147,777","1,127,854","1,105,785","1,100,437","1,100,421"
..White,"1,281,595","1,258,129","1,230,813","1,197,480","1,161,559","1,135,360","1,109,575","1,090,761","1,073,113","1,053,400","1,048,556","1,048,541"
..Black,"17,582","16,337","15,181","13,795","12,434","11,496","10,595","9,991","9,205","8,363","8,329","8,329"
..AIAN,"19,695","19,237","18,705","17,893","17,245","16,797","16,465","16,253","15,919","15,693","15,595","15,595"
..Asian,"30,433","29,093","27,730","26,599","25,224","24,304","23,247","22,464","21,561","20,608","20,324","20,323"
..NHPI,"10,520","10,214","9,782","9,401","9,040","8,787","8,532","8,308","8,056","7,721","7,633","7,633"
.Two or More Races,"23,773","22,576","21,407","20,042","18,769","17,714","16,761","15,844","14,904","13,879","13,717","13,717"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,303,701","1,279,108","1,250,699","1,216,101","1,178,967","1,151,783","1,125,108","1,105,427","1,086,913","1,066,242","1,061,262","1,061,247"
..Black,"23,367","21,751","20,236","18,471","16,770","15,516","14,361","13,520","12,487","11,392","11,283","11,283"
..AIAN,"26,795","26,054","25,287","24,143","23,239","22,549","22,036","21,614","21,081","20,628","20,428","20,428"
..Asian,"40,055","38,215","36,299","34,568","32,594","31,233","29,726","28,529","27,197","25,804","25,481","25,480"
..NHPI,"15,322","14,815","14,153","13,492","12,884","12,395","11,937","11,526","11,048","10,464","10,382","10,382"
.NOT HISPANIC,"1,222,090","1,201,251","1,178,918","1,151,046","1,119,073","1,095,921","1,072,637","1,056,790","1,041,593","1,024,836","1,020,512","1,020,496"
..One Race,"1,201,030","1,181,225","1,159,855","1,133,150","1,102,295","1,080,071","1,057,639","1,042,608","1,028,256","1,012,422","1,008,236","1,008,220"
...White,"1,131,545","1,114,486","1,095,889","1,072,190","1,044,486","1,024,383","1,004,110","990,536","978,087","964,170","960,455","960,440"
...Black,"13,399","12,581","11,888","10,937","9,934","9,259","8,583","8,186","7,615","7,026","6,999","6,999"
...AIAN,"16,605","16,244","15,867","15,242","14,766","14,433","14,215","14,121","13,884","13,774","13,698","13,698"
...Asian,"29,495","28,218","26,924","25,858","24,533","23,656","22,631","21,872","21,007","20,093","19,808","19,807"
...NHPI,"9,986","9,696","9,287","8,923","8,576","8,340","8,100","7,893","7,663","7,359","7,276","7,276"
..Two or More Races,"21,060","20,026","19,063","17,896","16,778","15,850","14,998","14,182","13,337","12,414","12,276","12,276"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,151,133","1,133,098","1,113,594","1,088,806","1,060,038","1,039,069","1,018,003","1,003,658","990,427","975,647","971,816","971,801"
...Black,"18,435","17,292","16,314","15,041","13,737","12,788","11,879","11,263","10,476","9,664","9,570","9,570"
...AIAN,"22,364","21,814","21,283","20,422","19,750","19,225","18,874","18,622","18,218","17,923","17,758","17,758"
...Asian,"38,301","36,573","34,805","33,209","31,350","30,062","28,619","27,479","26,228","24,903","24,587","24,586"
...NHPI,"14,398","13,918","13,320","12,711","12,142","11,701","11,270","10,897","10,467","9,929","9,859","9,859"
.HISPANIC,"161,508","154,335","144,700","134,164","125,198","118,537","112,538","106,831","101,165","94,828","93,642","93,642"
