table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Pennsylvania: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...AIAN,"6,769","6,466","6,138","5,591","5,129","4,756","4,387","4,072","3,831","3,592","3,587","3,587"
...Asian,"3,915","3,754","3,565","3,308","2,981","2,666","2,379","2,209","2,085","1,971","1,939","1,939"
...NHPI,"1,810","1,764","1,704","1,628","1,496","1,390","1,248","1,171","1,141","1,092","1,056","1,056"
FEMALE,"6,466,058","6,451,047","6,431,640","6,410,598","6,390,846","6,381,292","6,371,053","6,362,510","6,355,412","6,352,685","6,351,398","6,351,391"
.One Race,"6,394,823","6,381,686","6,364,715","6,346,271","6,328,875","6,321,876","6,314,015","6,307,605","6,302,673","6,302,087","6,301,221","6,301,214"
..White,"5,498,521","5,494,740","5,489,522","5,484,345","5,480,920","5,486,444","5,491,272","5,495,548","5,500,490","5,508,445","5,509,660","5,509,650"
..Black,"717,239","713,066","706,532","699,317","691,666","685,275","678,579","673,723","669,435","665,925","664,905","664,908"
..AIAN,"14,266","13,881","13,526","12,873","12,321","11,864","11,320","10,833","10,417","10,000","9,959","9,959"
..Asian,"161,718","156,979","152,190","146,911","141,253","135,720","130,397","125,143","120,030","115,477","114,482","114,482"
..NHPI,"3,079","3,020","2,945","2,825","2,715","2,573","2,447","2,358","2,301","2,240","2,215","2,215"
.Two or More Races,"71,235","69,361","66,925","64,327","61,971","59,416","57,038","54,905","52,739","50,598","50,177","50,177"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,560,450","5,554,928","5,547,480","5,539,926","5,534,358","5,537,495","5,540,123","5,542,446","5,545,420","5,551,442","5,552,371","5,552,361"
..Black,"762,214","756,549","748,170","739,053","729,649","721,355","712,906","706,528","700,699","695,677","694,464","694,467"
..AIAN,"34,267","33,704","33,138","32,164","31,324","30,614","29,764","28,996","28,316","27,627","27,596","27,596"
..Asian,"179,523","174,356","168,964","163,027","156,774","150,595","144,694","138,861","133,170","128,011","126,725","126,725"
..NHPI,"6,399","6,245","6,075","5,875","5,650","5,420","5,222","5,037","4,887","4,724","4,567","4,567"
.NOT HISPANIC,"6,153,828","6,152,642","6,147,470","6,142,349","6,138,454","6,142,658","6,145,628","6,148,906","6,152,221","6,158,851","6,159,140","6,159,130"
..One Race,"6,090,699","6,091,030","6,087,892","6,084,942","6,082,968","6,089,343","6,094,328","6,099,413","6,104,626","6,113,153","6,113,811","6,113,801"
