table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Massachusetts: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...AIAN,"17,978","17,745","17,526","17,400","17,289","17,177","17,038","16,923","16,793","16,487","16,496","16,496"
...Asian,"184,983","178,813","173,192","168,396","163,538","158,765","153,900","149,014","142,908","135,711","134,218","134,218"
...NHPI,"4,353","4,214","4,107","3,996","3,906","3,791","3,730","3,635","3,526","3,367","3,332","3,332"
.HISPANIC,"288,238","278,234","268,770","260,606","253,361","247,574","241,856","235,742","228,292","219,158","217,028","217,028"
..One Race,"279,210","269,617","260,537","252,747","245,858","240,375","234,939","229,106","221,954","213,158","211,103","211,103"
...White,"234,582","225,984","217,985","211,167","205,055","200,186","195,520","190,462","184,246","176,693","174,964","174,964"
...Black,"37,675","36,959","36,128","35,314","34,678","34,181","33,538","32,871","32,091","31,071","30,792","30,792"
...AIAN,"3,555","3,384","3,231","3,153","3,077","3,027","2,981","2,917","2,834","2,697","2,676","2,676"
...Asian,"1,914","1,852","1,794","1,739","1,689","1,643","1,581","1,542","1,482","1,416","1,402","1,402"
...NHPI,"1,484","1,438","1,399","1,374","1,359","1,338","1,319","1,314","1,301","1,281","1,269","1,269"
..Two or More Races,"9,028","8,617","8,233","7,859","7,503","7,199","6,917","6,636","6,338","6,000","5,925","5,925"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"242,894","233,918","225,557","218,409","211,948","206,805","201,880","196,549","190,049","182,175","180,382","180,382"
...Black,"45,131","44,066","42,912","41,789","40,836","40,105","39,214","38,316","37,286","35,990","35,659","35,659"
...AIAN,"5,214","4,975","4,772","4,614","4,515","4,387","4,327","4,205","4,092","3,901","3,871","3,871"
...Asian,"2,810","2,717","2,620","2,523","2,443","2,354","2,258","2,194","2,106","1,997","1,957","1,957"
...NHPI,"1,896","1,833","1,780","1,715","1,694","1,648","1,622","1,600","1,579","1,549","1,535","1,535"
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Massachusetts: April 1, 2000 to July 1, 2009 (SC-EST2009-03-25)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
