table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Connecticut: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Black,"20,988","20,284","19,704","19,385","19,019","18,863","18,680","18,281","17,905","17,627","17,483","17,483"
...AIAN,"3,797","3,626","3,471","3,348","3,212","3,119","2,994","2,862","2,749","2,599","2,561","2,561"
...Asian,"1,551","1,480","1,422","1,373","1,334","1,297","1,249","1,195","1,126","1,097","1,072","1,072"
...NHPI,941,906,876,859,837,823,800,766,743,719,706,706
FEMALE,"1,800,652","1,793,950","1,787,959","1,786,670","1,784,123","1,784,357","1,782,893","1,773,918","1,765,683","1,759,113","1,756,267","1,756,246"
.One Race,"1,774,194","1,768,169","1,762,890","1,762,285","1,760,374","1,761,192","1,760,354","1,752,136","1,744,659","1,738,831","1,736,168","1,736,149"
..White,"1,511,650","1,510,164","1,509,022","1,511,742","1,513,606","1,517,798","1,520,149","1,516,937","1,514,520","1,512,643","1,510,861","1,510,843"
..Black,"190,335","188,122","186,235","184,936","183,334","182,496","181,595","179,594","177,424","175,876","175,435","175,434"
..AIAN,"6,623","6,473","6,359","6,195","6,009","5,842","5,742","5,522","5,370","5,192","5,176","5,176"
..Asian,"64,131","62,011","59,930","58,085","56,140","53,801","51,645","48,910","46,209","44,014","43,597","43,597"
..NHPI,"1,455","1,399","1,344","1,327","1,285","1,255","1,223","1,173","1,136","1,106","1,099","1,099"
.Two or More Races,"26,458","25,781","25,069","24,385","23,749","23,165","22,539","21,782","21,024","20,282","20,099","20,097"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,534,242","1,532,131","1,530,354","1,532,410","1,533,710","1,537,387","1,539,108","1,535,211","1,532,109","1,529,564","1,527,668","1,527,648"
..Black,"206,210","203,496","201,105","199,317","197,192","195,959","194,594","192,063","189,378","187,320","186,825","186,823"
..AIAN,"14,508","14,309","14,094","13,910","13,663","13,456","13,347","13,015","12,770","12,496","12,515","12,514"
..Asian,"71,190","68,901","66,625","64,578","62,490","59,952","57,609","54,666","51,755","49,343","48,771","48,771"
..NHPI,"3,009","2,917","2,819","2,772","2,690","2,619","2,565","2,479","2,389","2,325","2,236","2,236"
.NOT HISPANIC,"1,586,309","1,586,722","1,587,604","1,592,582","1,596,072","1,600,976","1,604,151","1,601,009","1,598,568","1,597,355","1,595,964","1,595,943"
..One Race,"1,564,649","1,565,538","1,566,921","1,572,374","1,576,295","1,581,616","1,585,250","1,582,666","1,580,796","1,580,142","1,578,902","1,578,883"
...White,"1,324,170","1,328,862","1,333,801","1,342,229","1,349,592","1,358,107","1,364,730","1,366,750","1,369,636","1,372,708","1,372,204","1,372,186"
...Black,"172,637","170,950","169,452","168,363","166,958","166,167","165,343","163,555","161,518","160,038","159,719","159,718"
...AIAN,"4,059","4,057","4,082","4,024","3,938","3,877","3,877","3,782","3,752","3,689","3,681","3,681"
...Asian,"63,040","60,961","58,917","57,092","55,170","52,852","50,715","48,019","45,351","43,187","42,778","42,778"
...NHPI,743,708,669,666,637,613,585,560,539,520,520,520
..Two or More Races,"21,660","21,184","20,683","20,208","19,777","19,360","18,901","18,343","17,772","17,213","17,062","17,060"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,342,439","1,346,675","1,351,170","1,359,142","1,366,107","1,374,254","1,380,409","1,381,936","1,384,295","1,386,870","1,386,275","1,386,255"
...Black,"184,733","182,703","180,860","179,445","177,689","176,625","175,474","173,312","170,917","169,076","168,729","168,727"
...AIAN,"10,757","10,759","10,736","10,680","10,595","10,525","10,543","10,369","10,291","10,162","10,200","10,199"
...Asian,"69,547","67,328","65,131","63,133","61,081","58,596","56,294","53,405","50,551","48,186","47,626","47,626"
...NHPI,"2,100","2,041","1,964","1,932","1,871","1,827","1,782","1,724","1,668","1,617","1,538","1,538"
.HISPANIC,"214,343","207,228","200,355","194,088","188,051","183,381","178,742","172,909","167,115","161,758","160,303","160,303"
..One Race,"209,545","202,631","195,969","189,911","184,079","179,576","175,104","169,470","163,863","158,689","157,266","157,266"
...White,"187,480","181,302","175,221","169,513","164,014","159,691","155,419","150,187","144,884","139,935","138,657","138,657"
...Black,"17,698","17,172","16,783","16,573","16,376","16,329","16,252","16,039","15,906","15,838","15,716","15,716"
...AIAN,"2,564","2,416","2,277","2,171","2,071","1,965","1,865","1,740","1,618","1,503","1,495","1,495"
...Asian,"1,091","1,050","1,013",993,970,949,930,891,858,827,819,819
...NHPI,712,691,675,661,648,642,638,613,597,586,579,579
..Two or More Races,"4,798","4,597","4,386","4,177","3,972","3,805","3,638","3,439","3,252","3,069","3,037","3,037"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"191,803","185,456","179,184","173,268","167,603","163,133","158,699","153,275","147,814","142,694","141,393","141,393"
...Black,"21,477","20,793","20,245","19,872","19,503","19,334","19,120","18,751","18,461","18,244","18,096","18,096"
...AIAN,"3,751","3,550","3,358","3,230","3,068","2,931","2,804","2,646","2,479","2,334","2,315","2,315"
...Asian,"1,643","1,573","1,494","1,445","1,409","1,356","1,315","1,261","1,204","1,157","1,145","1,145"
...NHPI,909,876,855,840,819,792,783,755,721,708,698,698
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Connecticut: April 1, 2000 to July 1, 2009 (SC-EST2009-03-09)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
