table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Hawaii: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Black,"2,272","2,121","1,964","1,927","1,811","1,645","1,533","1,435","1,305","1,170","1,159","1,159"
...AIAN,"1,197","1,171","1,125","1,104","1,065",990,945,898,790,682,664,664
...Asian,"5,075","5,307","5,470","5,570","5,697","5,792","5,876","5,917","5,982","6,074","6,059","6,059"
...NHPI,"2,953","3,128","3,262","3,298","3,354","3,373","3,344","3,249","3,172","3,093","3,084","3,084"
..Two or More Races,"13,302","13,813","14,096","14,304","14,683","14,946","15,217","15,506","15,997","16,637","16,573","16,573"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"46,573","44,920","42,665","41,674","39,545","37,300","35,472","33,740","31,423","29,367","29,138","29,136"
...Black,"2,979","2,872","2,740","2,692","2,633","2,482","2,391","2,301","2,227","2,178","2,089","2,089"
...AIAN,"3,225","3,316","3,293","3,340","3,371","3,341","3,363","3,378","3,352","3,435","3,342","3,342"
...Asian,"16,222","16,847","17,227","17,434","17,834","18,088","18,346","18,539","18,948","19,448","19,423","19,423"
...NHPI,"13,035","13,539","13,794","13,933","14,171","14,302","14,333","14,348","14,470","14,636","14,657","14,657"
FEMALE,"640,757","637,141","633,011","630,494","627,177","623,524","615,755","608,989","604,406","602,399","602,868","602,866"
.One Race,"526,215","522,852","518,522","515,826","511,420","506,982","499,209","491,936","485,844","481,169","481,593","481,591"
..White,"177,463","174,952","171,673","169,793","165,770","162,093","156,935","152,237","147,979","144,028","145,028","145,026"
..Black,"17,695","16,821","15,954","15,734","14,936","14,105","13,365","12,403","10,768","9,086","9,098","9,098"
..AIAN,"3,911","3,759","3,552","3,358","3,145","2,930","2,705","2,441","2,152","1,825","1,808","1,808"
..Asian,"268,283","268,429","268,424","268,271","268,931","269,362","268,218","267,309","267,565","268,707","268,091","268,091"
..NHPI,"58,863","58,891","58,919","58,670","58,638","58,492","57,986","57,546","57,380","57,523","57,568","57,568"
.Two or More Races,"114,542","114,289","114,489","114,668","115,757","116,542","116,546","117,053","118,562","121,230","121,275","121,275"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"261,778","258,869","255,540","253,633","250,257","246,970","241,596","237,089","233,763","231,648","232,297","232,295"
..Black,"22,586","21,640","20,765","20,579","19,870","19,075","18,386","17,490","16,025","14,695","14,382","14,382"
..AIAN,"13,022","12,965","12,863","12,797","12,734","12,699","12,622","12,469","12,469","12,687","12,401","12,401"
..Asian,"360,464","360,313","360,381","360,298","361,691","362,619","361,408","360,777","362,037","365,033","364,636","364,636"
..NHPI,"138,789","138,746","138,890","138,715","139,283","139,569","138,971","138,737","139,287","140,548","141,108","141,108"
.NOT HISPANIC,"586,161","583,652","580,782","579,318","577,174","574,609","568,208","562,955","559,816","558,914","559,464","559,465"
..One Race,"484,822","483,131","480,487","479,118","476,391","473,462","467,436","462,099","458,051","455,333","455,805","455,806"
...White,"147,150","146,588","145,188","144,683","142,440","140,306","136,842","133,938","131,591","129,504","130,519","130,520"
...Black,"15,612","14,875","14,155","14,004","13,330","12,607","11,967","11,122","9,600","8,036","8,055","8,055"
...AIAN,"2,933","2,800","2,629","2,458","2,297","2,110","1,931","1,721","1,501","1,251","1,246","1,246"
...Asian,"263,101","262,996","262,774","262,513","262,984","263,276","262,014","261,018","261,173","262,177","261,564","261,564"
...NHPI,"56,026","55,872","55,741","55,460","55,340","55,163","54,682","54,300","54,186","54,365","54,421","54,421"
..Two or More Races,"101,339","100,521","100,295","100,200","100,783","101,147","100,772","100,856","101,765","103,581","103,659","103,659"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"221,531","220,162","218,404","217,672","215,704","213,657","209,722","206,699","204,853","203,945","204,657","204,658"
...Black,"19,895","19,036","18,266","18,142","17,493","16,804","16,180","15,369","13,967","12,656","12,413","12,413"
...AIAN,"9,959","9,813","9,648","9,569","9,455","9,366","9,247","9,086","9,006","9,112","8,900","8,900"
...Asian,"344,205","343,348","342,899","342,491","343,338","343,813","342,216","341,222","341,947","344,223","343,814","343,814"
...NHPI,"125,926","125,350","125,097","124,748","124,966","124,985","124,260","123,896","124,234","125,199","125,720","125,720"
.HISPANIC,"54,596","53,489","52,229","51,176","50,003","48,915","47,547","46,034","44,590","43,485","43,404","43,401"
..One Race,"41,393","39,721","38,035","36,708","35,029","33,520","31,773","29,837","27,793","25,836","25,788","25,785"
...White,"30,313","28,364","26,485","25,110","23,330","21,787","20,093","18,299","16,388","14,524","14,509","14,506"
...Black,"2,083","1,946","1,799","1,730","1,606","1,498","1,398","1,281","1,168","1,050","1,043","1,043"
...AIAN,978,959,923,900,848,820,774,720,651,574,562,562
...Asian,"5,182","5,433","5,650","5,758","5,947","6,086","6,204","6,291","6,392","6,530","6,527","6,527"
...NHPI,"2,837","3,019","3,178","3,210","3,298","3,329","3,304","3,246","3,194","3,158","3,147","3,147"
..Two or More Races,"13,203","13,768","14,194","14,468","14,974","15,395","15,774","16,197","16,797","17,649","17,616","17,616"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"40,247","38,707","37,136","35,961","34,553","33,313","31,874","30,390","28,910","27,703","27,640","27,637"
...Black,"2,691","2,604","2,499","2,437","2,377","2,271","2,206","2,121","2,058","2,039","1,969","1,969"
...AIAN,"3,063","3,152","3,215","3,228","3,279","3,333","3,375","3,383","3,463","3,575","3,501","3,501"
...Asian,"16,259","16,965","17,482","17,807","18,353","18,806","19,192","19,555","20,090","20,810","20,822","20,822"
...NHPI,"12,863","13,396","13,793","13,967","14,317","14,584","14,711","14,841","15,053","15,349","15,388","15,388"
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Hawaii: April 1, 2000 to July 1, 2009 (SC-EST2009-03-15)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
