table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Colorado: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Asian,"90,489","87,254","84,301","81,389","78,418","75,772","73,652","71,190","68,412","64,882","64,015","64,014"
..NHPI,"7,720","7,410","7,091","6,840","6,531","6,299","6,083","5,851","5,599","5,257","5,170","5,170"
.NOT HISPANIC,"2,007,551","1,979,531","1,949,650","1,919,670","1,889,223","1,868,553","1,857,101","1,843,844","1,824,773","1,792,667","1,784,800","1,784,483"
..One Race,"1,965,909","1,939,529","1,911,140","1,882,743","1,853,533","1,834,048","1,823,412","1,811,149","1,793,217","1,762,455","1,754,933","1,754,619"
...White,"1,781,480","1,760,419","1,736,874","1,712,942","1,689,239","1,673,414","1,666,097","1,656,556","1,642,944","1,617,995","1,611,722","1,611,411"
...Black,"93,250","90,913","88,766","86,914","84,269","83,070","81,679","81,013","79,237","76,806","76,351","76,349"
...AIAN,"18,861","18,276","17,715","17,182","16,645","16,190","15,817","15,559","15,153","14,532","14,443","14,443"
...Asian,"69,809","67,507","65,447","63,416","61,188","59,242","57,740","55,976","53,894","51,230","50,548","50,547"
...NHPI,"2,509","2,414","2,338","2,289","2,192","2,132","2,079","2,045","1,989","1,892","1,869","1,869"
..Two or More Races,"41,642","40,002","38,510","36,927","35,690","34,505","33,689","32,695","31,556","30,212","29,867","29,864"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,819,291","1,796,704","1,771,786","1,746,395","1,721,550","1,704,612","1,696,529","1,686,061","1,671,393","1,645,214","1,638,632","1,638,318"
...Black,"108,470","105,313","102,464","99,894","96,683","94,931","93,126","91,993","89,698","86,723","86,114","86,112"
...AIAN,"33,872","33,001","32,158","31,293","30,535","29,861","29,413","28,992","28,370","27,444","27,263","27,260"
...Asian,"85,238","82,287","79,593","76,886","74,116","71,669","69,790","67,567","65,003","61,741","60,925","60,924"
...NHPI,"5,693","5,500","5,300","5,129","4,916","4,767","4,659","4,540","4,379","4,144","4,078","4,078"
.HISPANIC,"486,112","470,774","456,173","441,330","426,573","412,747","402,042","389,038","373,239","355,441","350,855","350,795"
..One Race,"476,903","462,003","447,771","433,297","418,862","405,355","394,928","382,234","366,773","349,329","344,839","344,782"
...White,"448,211","434,818","421,871","408,416","394,927","382,334","372,697","360,908","346,537","330,353","326,095","326,040"
...Black,"12,829","11,858","11,079","10,405","9,756","9,169","8,671","8,115","7,399","6,604","6,529","6,529"
...AIAN,"11,654","11,347","11,031","10,834","10,684","10,499","10,422","10,290","10,085","9,847","9,720","9,718"
