State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
New Hampshire,2002,"595,544","7,423","3,971","11,216",367,"11,771","1,001",310,165,67,"616,702","6,183","3,895","11,612",409,"11,178",920,295,138,54
New Jersey,2002,"2,726,384","551,183","17,649","286,445","3,953","548,868","57,857","9,673","4,906","2,325","2,904,938","619,148","18,578","291,502","3,969","530,553","58,179","8,700","5,021","2,131"
New Mexico,2002,"405,774","21,192","85,947","11,823","1,132","380,718","5,412","11,254","2,075",815,"423,326","18,412","91,704","13,909","1,129","384,888","6,016","11,253","2,154",826
New York,2002,"5,815,329","1,383,207","58,825","617,904","10,395","1,213,805","241,666","31,010","13,386","6,578","6,183,804","1,617,897","64,653","628,411","11,339","1,228,377","269,760","30,463","14,391","6,850"
North Carolina,2002,"2,856,116","854,323","62,634","73,733","3,975","241,222","16,042","5,733","2,340","1,259","2,984,953","964,114","66,408","77,673","3,822","168,242","13,617","4,045","1,986",979
North Dakota,2002,"291,223","3,471","17,335","2,622",257,"4,337",222,423,62,19,"292,405","2,480","17,978","2,709",250,"3,785",197,418,76,10
Ohio,2002,"4,709,895","659,162","34,895","83,941","3,324","112,840","10,982","3,400","1,386",691,"4,961,187","731,075","37,138","87,807","3,324","103,167","11,812","3,238","1,514",587
Oklahoma,2002,"1,311,700","141,621","186,419","29,917","2,620","101,860","3,983","7,316","1,068",545,"1,370,730","144,671","194,705","31,553","2,358","85,979","3,959","7,054","1,036",442
Oregon,2002,"1,463,510","38,536","37,999","64,836","8,086","161,045","3,840","6,878","1,909",964,"1,517,773","34,931","39,773","71,808","7,854","132,532","3,389","5,728","1,846",862
Pennsylvania,2002,"5,021,426","607,918","22,958","133,172","3,930","195,232","27,708","4,072","2,209","1,171","5,359,372","677,449","24,717","136,705","3,927","183,074","29,079","4,279","2,156","1,110"
Rhode Island,2002,"421,588","27,838","4,542","14,642",674,"42,415","7,551","1,063",424,405,"458,689","28,425","4,962","15,404",710,"42,830","7,908","1,087",551,413
South Carolina,2002,"1,337,114","568,312","13,423","23,228","1,790","60,290","5,648","1,491",907,540,"1,393,028","645,090","13,864","25,712","1,652","41,298","5,534","1,032",786,431
South Dakota,2002,"334,461","4,592","33,377","3,177",312,"6,342",249,"1,079",67,38,"340,183","3,092","34,355","3,411",272,"5,414",252,"1,069",89,36
Tennessee,2002,"2,249,286","460,018","19,278","36,245","2,082","79,901","4,778","1,869",945,585,"2,362,799","518,173","19,513","38,911","2,207","56,438","4,368","1,401",849,387
Texas,2002,"5,552,101","1,218,389","76,535","346,196","12,201","3,593,622","52,514","47,475","16,376","6,942","5,722,807","1,305,600","78,949","353,884","12,132","3,439,022","54,263","44,592","16,193","6,383"
Utah,2002,"995,173","13,976","18,083","25,045","11,545","116,730","2,397","3,581","1,087",702,"1,003,658","11,263","18,622","27,479","10,897","101,769","2,257","2,992","1,050",629
Vermont,2002,"292,657","2,724","3,023","3,464",139,"3,040",191,135,48,25,"303,487","2,207","3,106","3,929",135,"3,053",185,116,66,25
Virginia,2002,"2,530,491","698,622","24,011","161,719","4,737","184,901","15,654","3,833","2,858","1,074","2,616,306","765,568","25,306","174,453","4,965","160,357","15,802","3,577","2,905",902
Washington,2002,"2,419,019","128,462","72,674","199,197","21,466","244,705","8,352","9,483","4,958","1,995","2,460,716","114,159","74,459","224,238","21,019","212,880","7,914","8,805","4,997","1,955"
West Virginia,2002,"833,692","32,472","5,171","6,029",405,"6,806",387,158,89,79,"878,983","31,512","5,354","6,395",440,"6,295",339,156,85,55
Wisconsin,2002,"2,350,556","162,305","32,723","55,279","2,134","110,588","5,180","3,543",995,382,"2,413,962","171,988","33,400","55,759","2,110","93,272","5,367","3,424",923,321
Wyoming,2002,"223,847","2,944","7,182","1,928",291,"16,375",348,813,156,46,"221,379","2,295","6,995","2,410",314,"14,928",372,812,154,38
Alabama,2003,"1,544,450","550,106","21,542","21,293","1,419","48,667","3,980","1,172",628,451,"1,617,633","631,962","22,426","23,075","1,515","37,179","4,220",950,590,296
Alaska,2003,"240,328","14,853","59,313","16,922","3,008","14,564","1,153","1,832",639,232,"219,628","13,683","58,643","18,672","2,823","13,084","1,244","1,862",571,245
Arizona,2003,"1,730,998","102,490","133,474","63,664","6,541","755,928","14,891","23,004","6,112","2,443","1,784,576","94,791","141,386","71,093","6,240","699,610","15,269","21,934","6,276","2,366"
Arkansas,2003,"1,045,768","204,944","18,415","13,696","1,733","58,820","2,460","1,561",559,313,"1,092,287","228,675","19,272","15,292","1,670","47,101","2,325","1,365",489,233
