table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oklahoma: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.One Race,"1,788,702","1,769,961","1,754,635","1,738,568","1,719,118","1,709,385","1,706,080","1,696,964","1,688,399","1,684,968","1,683,883","1,683,889"
..White,"1,454,803","1,441,523","1,430,491","1,419,202","1,404,769","1,398,420","1,396,318","1,390,759","1,385,149","1,384,065","1,383,691","1,383,697"
..Black,"149,409","146,378","144,398","142,036","139,526","137,965","137,891","136,332","134,990","133,869","133,735","133,735"
..AIAN,"150,533","149,319","148,005","146,539","144,914","143,663","143,081","141,924","141,060","140,606","140,297","140,297"
..Asian,"32,131","31,008","30,034","29,136","28,299","27,792","27,323","26,527","25,849","25,159","24,913","24,913"
..NHPI,"1,826","1,733","1,707","1,655","1,610","1,545","1,467","1,422","1,351","1,269","1,247","1,247"
.Two or More Races,"76,374","74,703","73,756","73,067","72,301","72,002","71,721","71,478","71,336","71,439","70,869","70,870"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,525,231","1,510,424","1,498,528","1,486,609","1,471,487","1,464,882","1,462,497","1,456,709","1,450,962","1,449,955","1,449,070","1,449,077"
..Black,"164,758","160,904","158,407","155,605","152,639","150,786","150,439","148,630","147,056","145,765","145,440","145,440"
..AIAN,"211,240","209,321","207,704","206,132","204,326","203,191","202,749","201,759","201,149","201,171","200,549","200,550"
..Asian,"39,809","38,334","37,089","35,965","34,863","34,185","33,554","32,589","31,744","30,865","30,482","30,482"
..NHPI,"3,569","3,407","3,317","3,242","3,115","3,009","2,879","2,800","2,697","2,565","2,488","2,488"
.NOT HISPANIC,"1,723,947","1,711,015","1,700,742","1,691,678","1,678,833","1,675,355","1,677,015","1,673,290","1,670,764","1,673,222","1,672,278","1,672,285"
..One Race,"1,652,155","1,640,619","1,631,060","1,622,437","1,610,115","1,606,706","1,608,474","1,604,821","1,602,276","1,604,517","1,604,109","1,604,115"
...White,"1,331,559","1,324,903","1,319,139","1,314,509","1,306,437","1,305,648","1,308,126","1,307,441","1,307,201","1,311,220","1,311,449","1,311,455"
...Black,"143,980","141,436","139,823","137,813","135,640","134,382","134,541","133,233","132,156","131,306","131,190","131,190"
...AIAN,"143,923","142,728","141,481","140,396","139,156","138,321","137,975","137,118","136,576","136,356","136,087","136,087"
...Asian,"31,250","30,178","29,253","28,392","27,586","27,108","26,655","25,882","25,248","24,602","24,366","24,366"
...NHPI,"1,443","1,374","1,364","1,327","1,296","1,247","1,177","1,147","1,095","1,033","1,017","1,017"
..Two or More Races,"71,792","70,396","69,682","69,241","68,718","68,649","68,541","68,469","68,488","68,705","68,169","68,170"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,397,959","1,390,016","1,383,594","1,378,562","1,369,999","1,369,146","1,371,501","1,370,730","1,370,498","1,374,694","1,374,439","1,374,446"
...Black,"157,949","154,684","152,633","150,248","147,712","146,231","146,178","144,671","143,414","142,429","142,133","142,133"
...AIAN,"201,316","199,579","198,202","197,176","195,917","195,368","195,265","194,705","194,525","194,853","194,289","194,290"
...Asian,"38,255","36,883","35,730","34,673","33,661","33,052","32,459","31,553","30,768","29,962","29,596","29,596"
...NHPI,"2,882","2,763","2,710","2,659","2,575","2,511","2,404","2,358","2,280","2,182","2,117","2,117"
.HISPANIC,"141,129","133,649","127,649","119,957","112,586","106,032","100,786","95,152","88,971","83,185","82,474","82,474"
..One Race,"136,547","129,342","123,575","116,131","109,003","102,679","97,606","92,143","86,123","80,451","79,774","79,774"
...White,"123,244","116,620","111,352","104,693","98,332","92,772","88,192","83,318","77,948","72,845","72,242","72,242"
...Black,"5,429","4,942","4,575","4,223","3,886","3,583","3,350","3,099","2,834","2,563","2,545","2,545"
...AIAN,"6,610","6,591","6,524","6,143","5,758","5,342","5,106","4,806","4,484","4,250","4,210","4,210"
...Asian,881,830,781,744,713,684,668,645,601,557,547,547
...NHPI,383,359,343,328,314,298,290,275,256,236,230,230
..Two or More Races,"4,582","4,307","4,074","3,826","3,583","3,353","3,180","3,009","2,848","2,734","2,700","2,700"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"127,272","120,408","114,934","108,047","101,488","95,736","90,996","85,979","80,464","75,261","74,631","74,631"
...Black,"6,809","6,220","5,774","5,357","4,927","4,555","4,261","3,959","3,642","3,336","3,307","3,307"
...AIAN,"9,924","9,742","9,502","8,956","8,409","7,823","7,484","7,054","6,624","6,318","6,260","6,260"
...Asian,"1,554","1,451","1,359","1,292","1,202","1,133","1,095","1,036",976,903,886,886
...NHPI,687,644,607,583,540,498,475,442,417,383,371,371
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oklahoma: April 1, 2000 to July 1, 2009 (SC-EST2009-03-40)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
