table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Minnesota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Black,"6,168","6,024","5,577","4,893","4,213","3,556","3,161","2,978","2,812","2,610","2,583","2,583"
...AIAN,"4,245","4,179","4,032","3,614","3,207","2,794","2,497","2,322","2,157","1,984","1,965","1,965"
...Asian,"1,480","1,466","1,375","1,216","1,054",876,772,731,691,638,633,633
...NHPI,467,468,460,417,387,345,318,312,298,280,279,279
..Two or More Races,"3,274","3,164","3,004","2,794","2,589","2,420","2,301","2,216","2,136","2,049","2,018","2,018"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"108,683","105,009","101,256","97,838","94,009","90,655","86,852","82,724","78,406","73,115","72,281","72,281"
...Black,"7,942","7,716","7,165","6,368","5,578","4,833","4,367","4,138","3,930","3,673","3,628","3,628"
...AIAN,"5,698","5,594","5,385","4,887","4,389","3,913","3,575","3,372","3,184","2,978","2,955","2,955"
...Asian,"2,039","2,001","1,891","1,683","1,486","1,274","1,147","1,085","1,031",964,947,947
...NHPI,692,683,659,597,549,498,457,446,422,400,385,385
FEMALE,"2,645,644","2,628,453","2,609,695","2,589,190","2,569,791","2,556,953","2,542,064","2,529,393","2,513,572","2,490,658","2,483,850","2,483,848"
.One Race,"2,604,057","2,587,986","2,570,538","2,551,372","2,533,153","2,521,391","2,507,610","2,495,861","2,481,080","2,459,236","2,452,773","2,452,771"
..White,"2,349,737","2,338,804","2,327,989","2,317,054","2,307,242","2,302,377","2,295,648","2,290,108","2,282,204","2,267,943","2,262,727","2,262,720"
..Black,"119,115","117,071","113,826","109,436","104,936","101,552","97,867","94,602","91,075","87,133","86,841","86,846"
..AIAN,"33,379","32,993","32,445","31,768","31,015","30,280","29,671","29,212","28,786","28,262","28,129","28,129"
..Asian,"100,215","97,566","94,804","91,738","88,685","85,987","83,305","80,860","77,999","74,941","74,122","74,122"
..NHPI,"1,611","1,552","1,474","1,376","1,275","1,195","1,119","1,079","1,016",957,954,954
.Two or More Races,"41,587","40,467","39,157","37,818","36,638","35,562","34,454","33,532","32,492","31,422","31,077","31,077"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,387,193","2,375,225","2,363,165","2,350,997","2,340,102","2,334,253","2,326,492","2,320,095","2,311,230","2,295,981","2,290,431","2,290,424"
..Black,"138,393","135,625","131,553","126,345","121,125","117,100","112,761","108,968","104,847","100,345","99,825","99,830"
..AIAN,"48,114","47,602","46,878","45,971","45,018","44,145","43,406","42,815","42,247","41,544","41,345","41,345"
..Asian,"112,344","109,350","106,197","102,677","99,244","96,150","93,083","90,311","87,089","83,643","82,733","82,733"
..NHPI,"4,082","3,976","3,822","3,650","3,473","3,309","3,171","3,057","2,910","2,764","2,763","2,763"
.NOT HISPANIC,"2,540,617","2,527,288","2,512,832","2,496,877","2,482,057","2,473,417","2,462,488","2,453,890","2,442,342","2,424,509","2,418,391","2,418,389"
..One Race,"2,502,073","2,489,777","2,476,488","2,461,699","2,447,893","2,440,190","2,430,267","2,422,535","2,411,969","2,395,135","2,389,336","2,389,334"
...White,"2,258,889","2,251,490","2,244,152","2,236,387","2,229,881","2,227,974","2,224,342","2,222,482","2,218,420","2,208,740","2,204,154","2,204,147"
...Black,"113,407","111,529","108,710","105,010","101,105","98,285","94,978","91,861","88,512","84,790","84,516","84,521"
...AIAN,"29,583","29,263","28,891","28,534","28,109","27,731","27,396","27,097","26,838","26,478","26,359","26,359"
