table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Jersey: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.One Race,"4,375,835","4,358,155","4,351,664","4,351,342","4,355,597","4,357,899","4,350,082","4,336,770","4,315,656","4,292,739","4,285,356","4,285,342"
..White,"3,353,564","3,350,091","3,354,275","3,364,139","3,377,384","3,389,320","3,393,495","3,394,408","3,390,229","3,385,386","3,381,713","3,381,702"
..Black,"658,911","654,570","653,490","652,968","653,042","653,712","652,140","649,147","645,605","640,970","639,657","639,654"
..AIAN,"15,144","14,533","14,060","13,746","13,463","13,142","12,813","12,449","11,968","11,577","11,514","11,514"
..Asian,"344,529","335,368","326,352","317,086","308,361","298,433","288,466","277,682","264,891","251,990","249,681","249,681"
..NHPI,"3,687","3,593","3,487","3,403","3,347","3,292","3,168","3,084","2,963","2,816","2,791","2,791"
.Two or More Races,"63,560","61,470","59,616","57,896","56,162","54,539","52,692","50,780","48,716","46,605","46,195","46,195"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,406,207","3,400,844","3,403,348","3,411,660","3,423,286","3,433,771","3,436,290","3,435,491","3,429,475","3,422,790","3,418,768","3,418,757"
..Black,"695,548","689,789","687,437","685,779","684,689","684,271","681,531","677,327","672,509","666,618","665,077","665,074"
..AIAN,"31,112","30,277","29,644","29,218","28,780","28,368","27,840","27,278","26,575","25,887","25,793","25,793"
..Asian,"368,045","358,173","348,511","338,632","329,265","318,706","308,037","296,523","282,913","269,154","266,637","266,637"
..NHPI,"7,326","7,103","6,941","6,758","6,623","6,492","6,284","6,100","5,864","5,581","5,507","5,507"
.NOT HISPANIC,"3,729,555","3,731,711","3,741,123","3,753,838","3,770,134","3,785,155","3,791,812","3,794,001","3,789,119","3,782,806","3,779,899","3,779,891"
..One Race,"3,679,778","3,683,419","3,694,105","3,708,022","3,725,532","3,741,676","3,749,653","3,753,237","3,749,862","3,745,115","3,742,518","3,742,510"
...White,"2,730,993","2,746,672","2,766,130","2,788,727","2,813,859","2,838,258","2,856,694","2,872,841","2,884,784","2,896,292","2,896,938","2,896,930"
...Black,"600,438","597,507","597,700","598,263","599,280","600,877","600,368","598,526","596,065","592,741","591,797","591,797"
...AIAN,"6,935","6,776","6,678","6,592","6,532","6,445","6,371","6,293","6,112","6,004","5,987","5,987"
...Asian,"339,600","330,699","321,901","312,812","304,275","294,544","284,763","274,166","261,556","248,823","246,552","246,552"
...NHPI,"1,812","1,765","1,696","1,628","1,586","1,552","1,457","1,411","1,345","1,255","1,244","1,244"
..Two or More Races,"49,777","48,292","47,018","45,816","44,602","43,479","42,159","40,764","39,257","37,691","37,381","37,381"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,771,217","2,785,562","2,803,859","2,825,371","2,849,378","2,872,775","2,890,040","2,904,938","2,915,563","2,925,736","2,926,113","2,926,105"
...Black,"626,562","622,681","622,089","621,906","622,165","623,081","621,805","619,148","615,851","611,681","610,582","610,582"
...AIAN,"19,670","19,398","19,237","19,136","19,022","18,926","18,755","18,578","18,261","17,962","17,952","17,952"
...Asian,"361,019","351,503","342,142","332,521","323,427","313,153","302,751","291,502","278,177","264,679","262,223","262,223"
...NHPI,"4,802","4,669","4,563","4,427","4,327","4,246","4,085","3,969","3,816","3,617","3,561","3,561"
.HISPANIC,"709,840","687,914","670,157","655,400","641,625","627,283","610,962","593,549","575,253","556,538","551,652","551,646"
..One Race,"696,057","674,736","657,559","643,320","630,065","616,223","600,429","583,533","565,794","547,624","542,838","542,832"
...White,"622,571","603,419","588,145","575,412","563,525","551,062","536,801","521,567","505,445","489,094","484,775","484,772"
...Black,"58,473","57,063","55,790","54,705","53,762","52,835","51,772","50,621","49,540","48,229","47,860","47,857"
...AIAN,"8,209","7,757","7,382","7,154","6,931","6,697","6,442","6,156","5,856","5,573","5,527","5,527"
...Asian,"4,929","4,669","4,451","4,274","4,086","3,889","3,703","3,516","3,335","3,167","3,129","3,129"
...NHPI,"1,875","1,828","1,791","1,775","1,761","1,740","1,711","1,673","1,618","1,561","1,547","1,547"
..Two or More Races,"13,783","13,178","12,598","12,080","11,560","11,060","10,533","10,016","9,459","8,914","8,814","8,814"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"634,990","615,282","599,489","586,289","573,908","560,996","546,250","530,553","513,912","497,054","492,655","492,652"
...Black,"68,986","67,108","65,348","63,873","62,524","61,190","59,726","58,179","56,658","54,937","54,495","54,492"
...AIAN,"11,442","10,879","10,407","10,082","9,758","9,442","9,085","8,700","8,314","7,925","7,841","7,841"
...Asian,"7,026","6,670","6,369","6,111","5,838","5,553","5,286","5,021","4,736","4,475","4,414","4,414"
...NHPI,"2,524","2,434","2,378","2,331","2,296","2,246","2,199","2,131","2,048","1,964","1,946","1,946"
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Jersey: April 1, 2000 to July 1, 2009 (SC-EST2009-03-34)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
