table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Illinois: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...AIAN,"16,691","15,969","15,315","14,882","14,430","14,060","13,676","13,341","12,922","12,433","12,314","12,314"
...Asian,"7,686","7,267","6,910","6,612","6,309","6,071","5,822","5,614","5,378","5,134","5,083","5,083"
...NHPI,"3,033","2,922","2,822","2,747","2,718","2,669","2,627","2,590","2,537","2,452","2,431","2,431"
FEMALE,"6,550,783","6,519,034","6,490,710","6,461,967","6,443,377","6,432,568","6,417,756","6,399,242","6,376,979","6,346,478","6,339,144","6,338,957"
.One Race,"6,467,492","6,438,619","6,413,029","6,387,147","6,371,123","6,362,743","6,350,430","6,334,337","6,314,434","6,286,610","6,279,767","6,279,583"
..White,"5,130,216","5,112,479","5,096,563","5,080,154","5,072,714","5,070,587","5,065,201","5,056,945","5,046,288","5,029,714","5,026,464","5,026,288"
..Black,"1,020,963","1,017,958","1,015,990","1,014,846","1,013,959","1,014,899","1,014,971","1,014,855","1,013,919","1,011,457","1,010,042","1,010,045"
..AIAN,"22,184","21,440","20,790","20,314","19,925","19,554","19,187","18,868","18,494","18,016","17,925","17,925"
..Asian,"289,519","282,287","275,376","267,609","260,398","253,656","247,074","239,757","231,932","223,756","221,706","221,696"
..NHPI,"4,610","4,455","4,310","4,224","4,127","4,047","3,997","3,912","3,801","3,667","3,630","3,629"
.Two or More Races,"83,291","80,415","77,681","74,820","72,254","69,825","67,326","64,905","62,545","59,868","59,377","59,374"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,203,553","5,183,160","5,164,727","5,145,693","5,135,883","5,131,520","5,123,840","5,113,339","5,100,536","5,081,541","5,077,854","5,077,675"
..Black,"1,062,103","1,057,291","1,053,720","1,050,857","1,048,473","1,047,977","1,046,605","1,045,074","1,042,805","1,038,917","1,037,229","1,037,232"
..AIAN,"45,902","44,830","43,768","42,986","42,284","41,645","40,925","40,295","39,670","38,786","38,654","38,652"
..Asian,"319,384","311,135","303,228","294,366","286,163","278,449","270,924","262,689","253,906","244,621","242,352","242,341"
..NHPI,"8,805","8,524","8,255","8,016","7,790","7,584","7,433","7,255","6,991","6,706","6,615","6,614"
.NOT HISPANIC,"5,617,102","5,610,054","5,606,141","5,600,185","5,603,215","5,612,589","5,618,592","5,622,384","5,624,042","5,619,787","5,618,339","5,618,170"
..One Race,"5,544,818","5,540,013","5,538,259","5,534,645","5,539,746","5,551,090","5,559,126","5,564,926","5,568,529","5,566,533","5,565,502","5,565,336"
...White,"4,251,165","4,255,369","4,261,505","4,266,196","4,278,801","4,295,421","4,309,460","4,322,212","4,334,276","4,342,567","4,344,892","4,344,733"
...Black,"995,322","993,609","992,712","992,364","992,184","993,775","994,473","994,930","994,451","992,590","991,306","991,310"
...AIAN,"11,716","11,436","11,188","10,883","10,654","10,414","10,183","10,033","9,827","9,557","9,531","9,531"
...Asian,"284,216","277,280","270,619","263,035","256,027","249,471","243,041","235,857","228,172","220,123","218,095","218,085"
...NHPI,"2,399","2,319","2,235","2,167","2,080","2,009","1,969","1,894","1,803","1,696","1,678","1,677"
..Two or More Races,"72,284","70,041","67,882","65,540","63,469","61,499","59,466","57,458","55,513","53,254","52,837","52,834"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,314,607","4,316,715","4,320,863","4,323,401","4,334,082","4,348,872","4,361,042","4,371,914","4,382,217","4,388,471","4,390,427","4,390,265"
...Black,"1,030,512","1,027,368","1,025,168","1,023,402","1,022,007","1,022,443","1,021,945","1,021,228","1,019,632","1,016,561","1,015,052","1,015,056"
...AIAN,"31,254","30,838","30,383","29,924","29,548","29,170","28,756","28,433","28,097","27,564","27,518","27,516"
...Asian,"311,578","303,790","296,279","287,721","279,844","272,436","265,170","257,168","248,621","239,566","237,342","237,331"
...NHPI,"5,926","5,768","5,603","5,430","5,242","5,090","4,960","4,830","4,623","4,388","4,323","4,322"
.HISPANIC,"933,681","908,980","884,569","861,782","840,162","819,979","799,164","776,858","752,937","726,691","720,805","720,787"
..One Race,"922,674","898,606","874,770","852,502","831,377","811,653","791,304","769,411","745,905","720,077","714,265","714,247"
...White,"879,051","857,110","835,058","813,958","793,913","775,166","755,741","734,733","712,012","687,147","681,572","681,555"
