table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kansas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
.One Race,"1,392,544","1,382,733","1,375,291","1,365,260","1,361,726","1,356,883","1,353,794","1,349,003","1,343,992","1,341,196","1,339,463","1,339,269"
..White,"1,257,964","1,250,693","1,245,826","1,238,163","1,236,400","1,232,859","1,231,395","1,228,125","1,225,390","1,224,437","1,223,176","1,223,017"
..Black,"86,372","85,138","83,673","82,329","81,216","80,875","80,267","79,875","78,950","78,294","78,121","78,096"
..AIAN,"14,387","14,129","13,957","13,850","13,773","13,570","13,399","13,226","13,028","12,867","12,814","12,808"
..Asian,"32,756","31,748","30,842","29,989","29,437","28,694","27,897","26,967","25,817","24,812","24,565","24,561"
..NHPI,"1,065","1,025",993,929,900,885,836,810,807,786,787,787
.Two or More Races,"26,380","25,534","24,829","24,056","23,535","22,993","22,585","21,996","21,377","20,863","20,678","20,675"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,282,057","1,273,965","1,268,466","1,260,078","1,257,839","1,253,797","1,251,943","1,248,113","1,244,807","1,243,372","1,241,958","1,241,796"
..Black,"97,415","95,667","93,769","91,976","90,521","89,886","89,004","88,294","87,017","86,060","85,776","85,749"
..AIAN,"26,812","26,377","26,059","25,806","25,648","25,329","25,115","24,820","24,478","24,232","24,114","24,108"
..Asian,"38,405","37,199","36,074","35,011","34,293","33,390","32,479","31,361","30,037","28,869","28,576","28,571"
..NHPI,"2,217","2,139","2,076","1,955","1,895","1,827","1,784","1,716","1,677","1,615","1,609","1,609"
.NOT HISPANIC,"1,295,324","1,289,209","1,285,450","1,279,344","1,278,845","1,277,166","1,277,287","1,275,640","1,273,633","1,273,778","1,272,688","1,272,511"
..One Race,"1,271,240","1,265,866","1,262,712","1,257,263","1,257,188","1,255,966","1,256,419","1,255,293","1,253,842","1,254,432","1,253,507","1,253,333"
...White,"1,144,342","1,141,073","1,140,093","1,136,593","1,137,896","1,137,634","1,139,467","1,139,630","1,140,212","1,142,394","1,141,905","1,141,765"
