table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Dakota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Black,"3,942","3,658","3,490","3,326","3,135","2,909","2,663","2,480","2,303","2,123","2,117","2,117"
...AIAN,"20,137","19,800","19,395","19,139","18,812","18,472","18,188","17,978","17,736","17,552","17,546","17,546"
...Asian,"3,570","3,397","3,307","3,186","3,051","2,962","2,823","2,709","2,665","2,531","2,497","2,498"
...NHPI,322,312,303,295,284,270,264,250,228,226,222,222
.HISPANIC,"7,018","6,620","6,174","5,684","5,331","5,062","4,684","4,313","4,003","3,721","3,687","3,687"
..One Race,"6,832","6,436","6,002","5,519","5,171","4,908","4,536","4,180","3,870","3,591","3,561","3,561"
...White,"6,000","5,608","5,204","4,834","4,563","4,336","3,993","3,661","3,373","3,117","3,097","3,097"
...Black,295,266,232,199,182,166,152,141,125,110,103,103
...AIAN,477,504,509,431,373,354,340,327,321,313,310,310
...Asian,54,52,51,49,47,46,45,45,45,45,45,45
...NHPI,6,6,6,6,6,6,6,6,6,6,6,6
..Two or More Races,186,184,172,165,160,154,148,133,133,130,126,126
..Race alone or in combination:1,,,,,,,,,,,,
...White,"6,173","5,777","5,368","4,989","4,709","4,478","4,130","3,785","3,498","3,235","3,211","3,211"
...Black,370,341,291,266,245,231,202,197,174,155,145,145
...AIAN,601,630,632,542,482,457,443,418,411,401,394,394
...Asian,103,96,89,92,84,86,82,76,73,83,83,83
...NHPI,17,16,11,13,12,15,14,10,12,13,13,13
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Dakota: April 1, 2000 to July 1, 2009 (SC-EST2009-03-38)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
