Year,State,whf,bhf,aihf,ashf,pihf,wnhf,bnhf,ainhf,asnhf,pinhf,whm,bhm,aihm,ashm,pihm,wnhm,bnhm,ainhm,asnhm,pinhm
2013,Kentucky,58592,5528,2776,1231,633,1953873,197759,14977,36935,2397,71263,6261,3349,1334,877,1877971,193604,14350,33399,2395
2014,Kentucky,60284,5639,2865,1269,646,1955394,200062,15148,38323,2511,72800,6391,3477,1384,901,1880117,196592,14495,34927,2515
2010,Louisiana,75705,9456,3834,1614,619,1416518,776459,25606,41920,1896,93828,10489,4581,1765,834,1374814,704007,24426,41199,2005
2011,Louisiana,79161,9994,4063,1705,653,1422280,784024,25992,43814,1999,96467,11032,4782,1845,865,1377075,709790,24769,42823,2069
2012,Louisiana,82519,10653,4339,1848,694,1425406,790009,26344,45515,2084,99598,11712,5122,1993,885,1381635,715188,25139,44377,2171
2013,Louisiana,85896,11170,4589,1912,722,1426433,796175,26607,47325,2191,102784,12319,5307,2029,879,1383588,721032,25412,45870,2264
2014,Louisiana,88879,11469,4775,1983,736,1428375,800968,26889,48880,2269,105620,12826,5496,2090,881,1384922,725312,25572,47102,2315
2010,Maine,7710,607,508,224,74,650149,9610,8928,9974,430,7653,755,534,220,83,621883,11396,8696,8169,433
2011,Maine,8035,622,529,264,80,649417,10090,9019,10293,452,8021,791,541,241,82,621104,11893,8767,8448,448
2012,Maine,8325,652,557,292,80,648879,10574,9120,10573,483,8406,815,566,262,82,620215,12529,8826,8699,467
2013,Maine,8627,668,588,307,90,647677,10811,9200,10931,499,8791,850,582,282,79,619779,12939,8939,8991,479
2014,Maine,8966,704,619,347,95,647337,11171,9281,11325,527,9104,904,620,306,91,619608,13344,8996,9308,493
2010,Maryland,187796,31804,11772,4963,1720,1669824,939191,24152,192848,4164,208563,31317,13752,5000,2055,1595986,816357,21216,175754,3759
2011,Maryland,196109,33214,12123,5242,1798,1670887,949287,24391,200211,4287,217573,32556,14069,5290,2045,1599710,826463,21444,182560,3899
2012,Maryland,203906,34467,12596,5565,1894,1670361,957646,24559,207391,4393,226027,33879,14439,5569,2120,1602138,834812,21730,189018,4030
2013,Maryland,212332,36026,12975,5823,1967,1667955,967533,24640,214623,4500,234774,35221,14862,5823,2231,1601343,843768,21850,195821,4165
2014,Maryland,221249,37665,13453,6066,2061,1661824,976715,24804,221722,4657,244428,36768,15406,6065,2328,1595352,851920,21955,202096,4297
2010,Massachusetts,260959,56613,13167,4669,2438,2650394,241371,18842,206720,3961,254581,50772,13365,4312,2465,2478184,224554,17665,190335,3597
2011,Massachusetts,270513,59248,13706,4878,2489,2647564,247503,19077,215523,4050,265389,53505,13961,4524,2562,2478906,230897,17903,198335,3711
2012,Massachusetts,279887,61752,14127,5116,2593,2643803,253133,19297,224195,4171,276096,56377,14464,4783,2691,2476532,236941,18211,206550,3798
