table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Alaska: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Black,"15,588","14,962","14,698","14,435","14,123","14,004","13,683","13,287","12,707","12,390","12,322","12,322"
...AIAN,"60,986","59,966","59,865","59,765","59,288","59,005","58,643","58,252","58,058","58,118","57,999","57,999"
...Asian,"22,073","20,931","20,452","20,043","19,704","19,138","18,672","18,032","17,401","16,903","16,747","16,747"
...NHPI,"3,346","3,171","3,111","3,033","2,982","2,875","2,823","2,687","2,596","2,503","2,497","2,497"
.HISPANIC,"21,093","20,088","19,454","18,786","18,008","17,019","15,991","14,914","13,706","12,673","12,584","12,584"
..One Race,"20,126","19,127","18,496","17,834","17,077","16,115","15,111","14,057","12,869","11,841","11,758","11,758"
...White,"16,777","15,771","15,136","14,581","13,924","13,133","12,322","11,501","10,550","9,703","9,630","9,630"
...Black,"1,175","1,119","1,084","1,055","1,029",993,964,938,887,837,830,830
...AIAN,"1,660","1,730","1,760","1,688","1,617","1,503","1,359","1,196","1,042",935,933,933
...Asian,374,368,375,370,366,346,335,305,285,270,269,269
...NHPI,140,139,141,140,141,140,131,117,105,96,96,96
..Two or More Races,967,961,958,952,931,904,880,857,837,832,826,826
..Race alone or in combination:1,,,,,,,,,,,,
...White,"17,613","16,601","15,967","15,399","14,729","13,918","13,084","12,234","11,275","10,416","10,337","10,337"
...Black,"1,488","1,442","1,389","1,365","1,337","1,274","1,244","1,209","1,144","1,102","1,092","1,092"
...AIAN,"2,189","2,249","2,294","2,231","2,137","2,026","1,862","1,691","1,540","1,433","1,428","1,428"
...Asian,656,634,639,631,620,588,571,532,503,478,476,476
...NHPI,295,284,279,274,260,272,245,236,204,195,196,196
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Alaska: April 1, 2000 to July 1, 2009 (SC-EST2009-03-02)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
