State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
District of Columbia,2000,"81,837","156,528","1,862","7,840",287,"19,696","3,818",491,275,69,"83,054","189,016","2,362","9,864",358,"17,328","3,841",476,231,56
Delaware,2005,"290,402","83,726","2,678","12,275",321,"24,505","2,423",591,188,82,"305,281","92,873","2,822","12,779",332,"20,936","2,438",556,158,62
Delaware,2004,"287,851","81,319","2,632","11,676",308,"23,136","2,352",569,176,74,"303,089","89,986","2,749","12,194",327,"19,821","2,436",535,153,60
Delaware,2003,"285,729","79,211","2,634","10,823",292,"21,810","2,316",539,169,64,"301,132","87,838","2,745","11,426",307,"18,569","2,404",497,153,54
Delaware,2002,"283,393","77,231","2,568","10,210",274,"20,436","2,290",516,144,65,"299,305","85,674","2,703","10,733",299,"17,261","2,384",469,128,58
Delaware,2001,"281,806","75,104","2,540","9,620",261,"18,995","2,276",492,132,57,"298,319","83,464","2,677","10,192",288,"16,065","2,359",441,126,46
Delaware,2000,"280,536","73,475","2,510","9,194",254,"17,656","2,284",478,135,54,"297,316","81,476","2,681","9,669",280,"14,938","2,361",423,140,51
Florida,2005,"5,475,958","1,322,301","55,960","203,772","12,330","1,658,629","77,403","19,755","9,965","4,307","5,730,312","1,423,850","56,624","224,095","12,040","1,628,277","77,137","16,829","10,038","3,588"
Florida,2004,"5,400,777","1,284,362","54,773","192,465","11,859","1,579,208","73,767","18,377","9,245","4,038","5,658,128","1,384,331","55,385","212,066","11,520","1,555,329","73,245","15,667","9,342","3,403"
Florida,2003,"5,328,933","1,246,245","53,477","180,891","11,352","1,502,113","70,409","16,975","8,603","3,732","5,588,661","1,346,736","54,164","200,374","11,078","1,484,458","69,588","14,422","8,659","3,153"
Florida,2002,"5,282,244","1,213,809","52,446","171,080","10,890","1,430,808","67,266","15,613","8,010","3,499","5,545,148","1,312,550","53,218","190,542","10,680","1,420,255","66,325","13,260","8,093","2,982"
