table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nevada: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...NHPI,"11,343","11,211","10,820","10,369","9,835","9,275","8,774","8,337","7,898","7,340","7,261","7,261"
.HISPANIC,"371,554","360,067","345,456","324,440","301,813","281,060","262,051","246,689","230,392","213,580","210,122","210,122"
..One Race,"365,587","354,347","340,057","319,472","297,277","276,913","258,271","243,202","227,209","210,705","207,306","207,306"
...White,"344,681","334,416","321,224","302,071","281,405","262,489","245,197","231,326","216,543","201,241","197,988","197,988"
...Black,"10,852","10,153","9,413","8,539","7,588","6,702","5,858","5,161","4,422","3,659","3,604","3,604"
...AIAN,"6,352","6,179","5,965","5,614","5,258","4,895","4,577","4,224","3,907","3,632","3,573","3,573"
...Asian,"2,579","2,506","2,404","2,254","2,099","1,961","1,830","1,730","1,630","1,530","1,505","1,505"
...NHPI,"1,123","1,093","1,051",994,927,866,809,761,707,643,636,636
..Two or More Races,"5,967","5,720","5,399","4,968","4,536","4,147","3,780","3,487","3,183","2,875","2,816","2,816"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"349,893","339,410","325,950","306,433","285,384","266,145","248,521","234,386","219,348","203,782","200,475","200,475"
...Black,"12,761","11,972","11,129","10,106","9,026","8,007","7,048","6,272","5,419","4,555","4,479","4,479"
...AIAN,"8,621","8,381","8,085","7,603","7,084","6,578","6,139","5,673","5,256","4,882","4,803","4,803"
...Asian,"4,872","4,687","4,430","4,086","3,750","3,463","3,177","2,955","2,744","2,506","2,461","2,461"
...NHPI,"2,322","2,203","2,073","1,917","1,743","1,605","1,459","1,353","1,217","1,091","1,077","1,077"
