table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Georgia: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...White,"417,794","401,480","382,001","358,285","334,167","312,992","292,018","275,863","257,521","237,388","234,364","234,351"
...Black,"22,686","21,285","20,120","19,310","18,302","17,552","16,579","16,077","15,531","14,875","14,697","14,696"
...AIAN,"7,447","7,036","6,613","6,172","5,682","5,269","4,852","4,510","4,146","3,767","3,715","3,715"
...Asian,"2,968","2,794","2,646","2,496","2,332","2,166","2,008","1,887","1,743","1,580","1,557","1,557"
...NHPI,"2,133","2,032","1,930","1,825","1,715","1,591","1,490","1,388","1,275","1,158","1,145","1,145"
..Two or More Races,"6,075","5,672","5,307","4,911","4,519","4,175","3,841","3,565","3,236","2,871","2,820","2,820"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"422,767","406,112","386,347","362,320","337,869","316,409","295,166","278,779","260,179","239,730","236,667","236,654"
...Black,"26,234","24,579","23,195","22,161","20,910","19,951","18,782","18,110","17,375","16,516","16,307","16,306"
...AIAN,"9,563","9,020","8,466","7,930","7,318","6,786","6,276","5,843","5,369","4,875","4,804","4,804"
...Asian,"4,735","4,439","4,168","3,860","3,588","3,318","3,052","2,845","2,608","2,336","2,291","2,291"
...NHPI,"2,833","2,689","2,530","2,374","2,217","2,038","1,887","1,766","1,607","1,456","1,436","1,436"
FEMALE,"4,993,949","4,930,650","4,851,727","4,743,044","4,628,966","4,527,531","4,446,105","4,360,945","4,274,445","4,181,147","4,159,506","4,159,340"
.One Race,"4,927,900","4,867,381","4,791,594","4,686,700","4,576,215","4,477,944","4,399,728","4,317,389","4,233,807","4,143,609","4,122,440","4,122,276"
..White,"3,188,958","3,161,694","3,124,432","3,069,766","3,016,997","2,963,601","2,922,627","2,876,328","2,830,067","2,778,752","2,766,290","2,766,232"
..Black,"1,571,128","1,543,471","1,511,328","1,468,366","1,419,016","1,381,688","1,351,072","1,321,445","1,291,123","1,259,495","1,252,140","1,252,036"
..AIAN,"17,248","16,548","15,880","15,216","14,373","13,644","13,068","12,452","11,810","11,045","10,952","10,950"
..Asian,"146,667","141,966","136,416","129,983","122,642","115,984","110,087","104,440","98,269","91,954","90,719","90,719"
..NHPI,"3,899","3,702","3,538","3,369","3,187","3,027","2,874","2,724","2,538","2,363","2,339","2,339"
.Two or More Races,"66,049","63,269","60,133","56,344","52,751","49,587","46,377","43,556","40,638","37,538","37,066","37,064"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,243,761","3,214,080","3,174,122","3,116,197","3,060,381","3,004,245","2,960,539","2,911,816","2,863,047","2,809,073","2,796,188","2,796,129"
..Black,"1,606,601","1,577,256","1,543,186","1,497,970","1,446,515","1,407,321","1,374,784","1,343,481","1,311,455","1,278,039","1,270,395","1,270,291"
..AIAN,"39,306","38,043","36,712","35,191","33,492","32,049","30,791","29,513","28,180","26,698","26,491","26,488"
..Asian,"167,947","162,296","155,663","147,941","139,364","131,625","124,609","118,007","110,845","103,445","102,077","102,076"
..NHPI,"8,200","7,848","7,477","7,068","6,639","6,264","5,921","5,602","5,194","4,839","4,800","4,799"
.NOT HISPANIC,"4,633,165","4,586,870","4,527,593","4,443,670","4,353,647","4,274,097","4,211,761","4,144,383","4,075,851","4,001,920","3,982,553","3,982,397"
..One Race,"4,572,906","4,529,018","4,472,508","4,391,951","4,305,123","4,228,374","4,168,921","4,104,081","4,038,151","3,967,000","3,948,064","3,947,909"
...White,"2,863,545","2,851,227","2,831,781","2,800,123","2,769,705","2,736,651","2,713,396","2,683,647","2,654,013","2,620,710","2,610,254","2,610,204"
...Black,"1,550,051","1,523,564","1,492,366","1,450,210","1,401,684","1,365,063","1,335,097","1,306,031","1,276,237","1,245,166","1,237,984","1,237,881"
...AIAN,"12,382","11,998","11,672","11,345","10,826","10,410","10,084","9,709","9,331","8,814","8,749","8,747"
...Asian,"144,151","139,612","134,193","127,907","120,693","114,162","108,383","102,848","96,832","90,662","89,445","89,445"
