table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Dakota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...White,"10,662","9,958","9,352","8,890","8,315","7,699","7,020","6,342","5,681","4,976","4,920","4,920"
...Black,492,430,415,375,349,322,268,249,214,163,163,163
...AIAN,"1,506","1,592","1,612","1,535","1,420","1,294","1,195","1,079",991,887,884,884
...Asian,113,103,91,91,84,82,78,67,74,68,68,68
...NHPI,99,91,81,75,62,56,42,38,34,33,33,33
FEMALE,"406,463","403,321","399,703","395,353","391,372","388,562","385,218","383,303","382,108","380,644","380,282","380,286"
.One Race,"400,443","397,521","394,104","389,927","386,112","383,522","380,393","378,616","377,572","376,273","375,949","375,953"
..White,"357,336","355,229","352,487","349,223","346,285","344,507","342,252","341,220","340,851","340,260","340,042","340,046"
..Black,"4,157","3,881","3,678","3,360","3,109","2,803","2,581","2,331","2,041","1,757","1,756","1,756"
..AIAN,"35,014","34,749","34,418","33,920","33,482","33,108","32,630","32,315","32,050","31,740","31,655","31,655"
..Asian,"3,732","3,466","3,336","3,240","3,055","2,923","2,766","2,599","2,496","2,390","2,370","2,370"
..NHPI,204,196,185,184,181,181,164,151,134,126,126,126
.Two or More Races,"6,020","5,800","5,599","5,426","5,260","5,040","4,825","4,687","4,536","4,371","4,333","4,333"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"362,963","360,650","357,722","354,287","351,193","349,218","346,761","345,597","345,074","344,340","344,092","344,096"
..Black,"5,625","5,265","4,998","4,615","4,301","3,934","3,636","3,344","3,009","2,663","2,641","2,641"
..AIAN,"38,699","38,356","37,927","37,379","36,868","36,386","35,801","35,424","35,114","34,736","34,640","34,640"
..Asian,"5,030","4,683","4,495","4,341","4,113","3,907","3,700","3,500","3,335","3,183","3,150","3,150"
..NHPI,431,413,389,381,372,351,327,308,280,264,261,261
.NOT HISPANIC,"395,493","392,916","389,868","386,184","382,718","380,628","378,010","376,717","376,182","375,513","375,190","375,194"
..One Race,"389,826","387,461","384,600","381,071","377,756","375,867","373,447","372,284","371,892","371,379","371,094","371,098"
...White,"348,481","346,966","344,758","342,014","339,488","338,250","336,568","336,036","336,197","336,251","336,068","336,072"
...Black,"3,785","3,548","3,378","3,085","2,855","2,579","2,388","2,168","1,915","1,673","1,672","1,672"
...AIAN,"33,725","33,383","33,038","32,640","32,264","32,017","31,643","31,408","31,224","31,011","30,930","30,930"
...Asian,"3,663","3,399","3,271","3,178","2,997","2,868","2,711","2,547","2,446","2,341","2,321","2,321"
...NHPI,172,165,155,154,152,153,137,125,110,103,103,103
..Two or More Races,"5,667","5,455","5,268","5,113","4,962","4,761","4,563","4,433","4,290","4,134","4,096","4,096"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"353,798","352,082","349,698","346,807","344,136","342,714","340,846","340,183","340,205","340,121","339,909","339,913"
...Black,"5,118","4,803","4,571","4,223","3,941","3,600","3,349","3,092","2,797","2,502","2,481","2,481"
...AIAN,"37,183","36,761","36,334","35,888","35,446","35,118","34,642","34,355","34,120","33,835","33,741","33,741"
...Asian,"4,912","4,572","4,389","4,239","4,020","3,817","3,613","3,411","3,251","3,106","3,073","3,073"
...NHPI,384,368,345,337,329,311,287,272,244,233,229,229
.HISPANIC,"10,970","10,405","9,835","9,169","8,654","7,934","7,208","6,586","5,926","5,131","5,092","5,092"
..One Race,"10,617","10,060","9,504","8,856","8,356","7,655","6,946","6,332","5,680","4,894","4,855","4,855"
...White,"8,855","8,263","7,729","7,209","6,797","6,257","5,684","5,184","4,654","4,009","3,974","3,974"
...Black,372,333,300,275,254,224,193,163,126,84,84,84
...AIAN,"1,289","1,366","1,380","1,280","1,218","1,091",987,907,826,729,725,725
...Asian,69,67,65,62,58,55,55,52,50,49,49,49
...NHPI,32,31,30,30,29,28,27,26,24,23,23,23
..Two or More Races,353,345,331,313,298,279,262,254,246,237,237,237
..Race alone or in combination:1,,,,,,,,,,,,
...White,"9,165","8,568","8,024","7,480","7,057","6,504","5,915","5,414","4,869","4,219","4,183","4,183"
...Black,507,462,427,392,360,334,287,252,212,161,160,160
...AIAN,"1,516","1,595","1,593","1,491","1,422","1,268","1,159","1,069",994,901,899,899
...Asian,118,111,106,102,93,90,87,89,84,77,77,77
...NHPI,47,45,44,44,43,40,40,36,36,31,32,32
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""some other race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Dakota: April 1, 2000 to July 1, 2009 (SC-EST2009-03-46)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
