table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Missouri: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
...Black,"336,253","333,275","330,197","327,107","323,211","319,670","316,509","313,766","310,419","306,928","305,803","305,321"
...AIAN,"31,482","31,198","30,909","30,444","30,086","29,622","29,163","28,806","28,362","27,902","27,902","27,876"
...Asian,"52,031","50,538","49,035","47,327","45,535","43,583","41,765","40,162","38,400","36,817","36,277","36,270"
...NHPI,"4,380","4,269","4,165","3,974","3,847","3,668","3,556","3,463","3,320","3,228","3,049","3,048"
.HISPANIC,"107,378","103,053","97,985","92,451","86,839","81,698","76,888","72,357","67,778","63,126","62,533","62,509"
..One Race,"104,937","100,720","95,768","90,358","84,875","79,845","75,138","70,705","66,216","61,651","61,073","61,051"
...White,"96,933","93,115","88,605","83,622","78,585","74,001","69,699","65,625","61,477","57,233","56,685","56,663"
...Black,"4,789","4,530","4,255","4,022","3,757","3,500","3,252","3,047","2,858","2,682","2,655","2,655"
...AIAN,"2,262","2,164","2,045","1,893","1,749","1,594","1,473","1,350","1,246","1,133","1,127","1,127"
...Asian,661,634,607,582,556,534,506,488,453,428,427,427
...NHPI,292,277,256,239,228,216,208,195,182,175,179,179
..Two or More Races,"2,441","2,333","2,217","2,093","1,964","1,853","1,750","1,652","1,562","1,475","1,460","1,458"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"99,046","95,149","90,540","85,447","80,286","75,621","71,222","67,069","62,831","58,523","57,971","57,948"
...Black,"5,796","5,487","5,157","4,869","4,543","4,226","3,954","3,691","3,466","3,265","3,225","3,225"
...AIAN,"3,493","3,346","3,184","2,972","2,775","2,570","2,410","2,243","2,089","1,942","1,939","1,937"
...Asian,"1,316","1,260","1,204","1,137","1,069","1,001",944,890,843,779,772,772
...NHPI,607,561,533,501,458,430,415,376,363,331,331,330
FEMALE,"3,061,578","3,046,997","3,023,890","3,001,475","2,974,272","2,950,849","2,931,178","2,914,664","2,897,582","2,879,409","2,875,021","2,875,034"
.One Race,"3,017,019","3,003,562","2,981,733","2,960,670","2,934,757","2,912,668","2,894,207","2,878,754","2,862,829","2,845,939","2,841,858","2,841,872"
..White,"2,586,879","2,577,538","2,560,679","2,543,742","2,523,972","2,507,383","2,494,362","2,483,386","2,472,177","2,460,474","2,457,691","2,457,702"
..Black,"364,749","362,365","359,365","357,134","353,387","350,064","346,618","344,060","341,254","337,954","337,069","337,067"
..AIAN,"15,222","15,015","14,731","14,422","14,122","13,886","13,590","13,291","13,047","12,740","12,680","12,681"
..Asian,"47,866","46,402","44,773","43,243","41,239","39,399","37,742","36,174","34,597","33,113","32,771","32,775"
