table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Rhode Island: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Black,"38,904","38,559","38,241","37,903","37,731","37,467","37,112","36,333","35,408","34,429","34,280","34,280"
..AIAN,"6,334","6,286","6,267","6,287","6,275","6,211","6,150","6,049","5,922","5,835","5,839","5,839"
..Asian,"17,499","17,373","17,097","16,960","16,888","16,708","16,419","15,955","15,400","14,960","14,763","14,763"
..NHPI,"1,289","1,265","1,242","1,238","1,194","1,180","1,164","1,123","1,092","1,046","1,034","1,034"
.NOT HISPANIC,"478,620","481,207","484,370","488,441","493,303","498,272","501,157","501,164","500,190","499,439","498,627","498,629"
..One Race,"471,287","473,984","477,235","481,368","486,410","491,424","494,445","494,622","493,833","493,312","492,564","492,566"
...White,"427,237","430,054","433,632","438,184","443,240","448,660","452,192","453,373","453,786","454,334","453,792","453,794"
...Black,"26,700","26,642","26,509","26,161","26,082","25,844","25,569","25,003","24,308","23,573","23,498","23,498"
...AIAN,"2,288","2,316","2,332","2,366","2,412","2,405","2,396","2,376","2,334","2,341","2,333","2,333"
...Asian,"14,736","14,649","14,438","14,334","14,347","14,196","13,977","13,575","13,116","12,787","12,664","12,664"
...NHPI,326,323,324,323,329,319,311,295,289,277,277,277
..Two or More Races,"7,333","7,223","7,135","7,073","6,893","6,848","6,712","6,542","6,357","6,127","6,063","6,063"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"433,335","436,048","439,536","444,015","448,909","454,271","457,676","458,689","458,944","459,277","458,670","458,672"
...Black,"30,714","30,568","30,362","29,962","29,760","29,482","29,106","28,425","27,607","26,736","26,657","26,657"
...AIAN,"4,811","4,828","4,870","4,939","4,980","4,992","4,988","4,962","4,902","4,877","4,884","4,884"
...Asian,"16,829","16,729","16,472","16,344","16,293","16,125","15,857","15,404","14,879","14,473","14,279","14,279"
...NHPI,788,781,770,769,754,747,735,710,690,662,651,651
.HISPANIC,"63,099","61,267","59,496","58,212","56,717","55,339","53,714","51,408","48,960","46,492","46,055","46,055"
..One Race,"61,301","59,552","57,866","56,645","55,222","53,910","52,346","50,120","47,746","45,339","44,912","44,912"
...White,"52,564","51,007","49,430","48,147","46,697","45,390","43,808","41,696","39,453","37,198","36,837","36,837"
...Black,"6,734","6,608","6,568","6,682","6,767","6,840","6,905","6,876","6,829","6,762","6,698","6,698"
...AIAN,"1,164","1,121","1,073","1,031",989,920,881,817,760,705,704,704
...Asian,448,436,424,418,411,405,400,389,372,352,351,351
...NHPI,391,380,371,367,358,355,352,342,332,322,322,322
..Two or More Races,"1,798","1,715","1,630","1,567","1,495","1,429","1,368","1,288","1,214","1,153","1,143","1,143"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"54,155","52,528","50,867","49,522","48,024","46,654","45,028","42,830","40,531","38,216","37,844","37,844"
...Black,"8,190","7,991","7,879","7,941","7,971","7,985","8,006","7,908","7,801","7,693","7,623","7,623"
...AIAN,"1,523","1,458","1,397","1,348","1,295","1,219","1,162","1,087","1,020",958,955,955
...Asian,670,644,625,616,595,583,562,551,521,487,484,484
...NHPI,501,484,472,469,440,433,429,413,402,384,383,383
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""some other race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Rhode Island: April 1, 2000 to July 1, 2009 (SC-EST2009-03-44)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
