table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Carolina: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
..Two or More Races,"52,616","50,788","47,926","45,088","42,329","40,203","37,869","36,073","34,019","31,952","31,509","31,514"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"3,106,479","3,078,831","3,031,268","2,986,734","2,930,789","2,899,798","2,870,668","2,856,116","2,833,005","2,805,123","2,793,827","2,794,560"
...Black,"959,372","944,671","924,090","906,132","886,881","874,210","861,436","854,323","842,460","830,696","825,992","826,139"
...AIAN,"69,762","68,898","67,646","66,466","65,136","64,424","63,336","62,634","61,865","60,982","60,624","60,626"
...Asian,"107,167","102,935","97,351","91,768","86,239","81,885","77,603","73,733","69,840","65,709","64,828","64,906"
...NHPI,"5,584","5,376","5,046","4,830","4,527","4,390","4,116","3,975","3,835","3,610","3,536","3,537"
.HISPANIC,"398,082","379,282","354,721","331,967","310,381","292,999","275,752","262,660","246,541","229,652","226,593","226,622"
..One Race,"391,784","373,454","349,439","327,131","305,968","288,928","272,059","259,207","243,380","226,809","223,803","223,831"
...White,"361,846","345,497","323,557","302,496","282,627","266,406","250,588","238,251","223,213","207,544","204,835","204,859"
...Black,"19,575","18,208","16,870","16,156","15,362","14,913","14,255","14,022","13,577","13,093","12,881","12,885"
...AIAN,"6,844","6,468","5,999","5,615","5,265","4,984","4,688","4,467","4,197","3,885","3,828","3,828"
...Asian,"2,353","2,177","1,975","1,862","1,740","1,661","1,571","1,534","1,467","1,381","1,361","1,361"
...NHPI,"1,166","1,104","1,038","1,002",974,964,957,933,926,906,898,898
..Two or More Races,"6,298","5,828","5,282","4,836","4,413","4,071","3,693","3,453","3,161","2,843","2,790","2,791"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"367,272","350,524","328,114","306,671","286,439","269,910","253,772","241,222","225,929","209,975","207,229","207,254"
...Black,"23,322","21,660","19,998","19,009","17,962","17,307","16,426","16,042","15,432","14,764","14,529","14,534"
...AIAN,"9,007","8,498","7,828","7,332","6,818","6,444","6,019","5,733","5,372","4,970","4,872","4,873"
...Asian,"3,925","3,615","3,281","3,044","2,808","2,635","2,446","2,340","2,204","2,040","1,988","1,988"
...NHPI,"1,825","1,702","1,579","1,496","1,424","1,379","1,323","1,259","1,230","1,176","1,166","1,166"
FEMALE,"4,790,699","4,721,444","4,635,229","4,527,284","4,430,750","4,356,585","4,304,029","4,241,755","4,182,269","4,117,791","4,104,696","4,106,618"
.One Race,"4,730,859","4,664,116","4,580,866","4,476,456","4,382,876","4,311,252","4,261,051","4,201,023","4,143,839","4,081,791","4,069,069","4,070,958"
..White,"3,494,154","3,449,432","3,391,889","3,316,327","3,248,643","3,197,245","3,161,745","3,119,383","3,078,734","3,034,303","3,026,415","3,027,795"
..Black,"1,075,808","1,058,820","1,038,725","1,016,337","996,137","980,959","970,250","957,346","945,049","932,074","928,220","928,591"
..AIAN,"59,248","58,316","57,423","56,377","55,485","54,747","54,152","53,284","52,567","51,871","51,594","51,607"
..Asian,"98,242","94,332","89,759","84,561","79,902","75,728","72,416","68,614","65,208","61,365","60,682","60,805"
..NHPI,"3,407","3,216","3,070","2,854","2,709","2,573","2,488","2,396","2,281","2,178","2,158","2,160"
.Two or More Races,"59,840","57,328","54,363","50,828","47,874","45,333","42,978","40,732","38,430","36,000","35,627","35,660"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,544,620","3,497,696","3,437,587","3,358,954","3,288,683","3,235,083","3,197,513","3,153,195","3,110,537","3,063,975","3,055,796","3,057,204"
..Black,"1,107,500","1,088,968","1,067,091","1,042,634","1,020,677","1,003,991","991,897","977,731","964,045","949,688","945,571","945,960"
..AIAN,"81,049","79,569","77,947","76,044","74,400","73,063","71,886","70,453","69,184","67,861","67,544","67,563"
..Asian,"115,329","110,607","105,110","98,797","93,226","88,250","84,215","79,659","75,551","70,959","70,123","70,262"
..NHPI,"7,028","6,641","6,336","5,872","5,537","5,269","5,038","4,801","4,506","4,272","4,228","4,230"
.NOT HISPANIC,"4,471,119","4,420,103","4,356,141","4,272,545","4,196,557","4,140,733","4,103,450","4,056,253","4,012,106","3,963,853","3,952,387","3,954,277"
..One Race,"4,416,848","4,367,905","4,306,444","4,225,911","4,152,493","4,098,871","4,063,654","4,018,443","3,976,340","3,930,243","3,919,122","3,920,983"
...White,"3,205,857","3,177,042","3,139,453","3,086,329","3,037,608","3,003,230","2,981,898","2,953,581","2,927,201","2,897,884","2,891,439","2,892,792"
...Black,"1,057,986","1,042,342","1,023,475","1,001,991","982,592","968,021","957,845","945,387","933,552","921,052","917,316","917,687"
...AIAN,"54,177","53,594","53,103","52,432","51,828","51,363","50,987","50,374","49,917","49,483","49,229","49,242"
...Asian,"96,340","92,573","88,146","83,068","78,492","74,394","71,129","67,383","64,036","60,264","59,594","59,717"
...NHPI,"2,488","2,354","2,267","2,091","1,973","1,863","1,795","1,718","1,634","1,560","1,544","1,545"
..Two or More Races,"54,271","52,198","49,697","46,634","44,064","41,862","39,796","37,810","35,766","33,610","33,265","33,294"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"3,251,659","3,221,007","3,181,248","3,125,442","3,074,457","3,038,166","3,015,014","2,984,953","2,956,777","2,925,582","2,918,862","2,920,240"
...Black,"1,086,499","1,069,579","1,049,199","1,025,910","1,004,974","989,092","977,699","964,114","951,048","937,307","933,321","933,707"
...AIAN,"73,967","72,966","71,911","70,526","69,316","68,356","67,497","66,408","65,486","64,508","64,229","64,246"
...Asian,"111,875","107,437","102,216","96,169","90,796","85,989","82,066","77,673","73,683","69,237","68,421","68,560"
...NHPI,"5,504","5,238","5,035","4,674","4,417","4,195","4,012","3,822","3,592","3,410","3,370","3,371"
.HISPANIC,"319,580","301,341","279,088","254,739","234,193","215,852","200,579","185,502","170,163","153,938","152,309","152,341"
..One Race,"314,011","296,211","274,422","250,545","230,383","212,381","197,397","182,580","167,499","151,548","149,947","149,975"
...White,"288,297","272,390","252,436","229,998","211,035","194,015","179,847","165,802","151,533","136,419","134,976","135,003"
...Black,"17,822","16,478","15,250","14,346","13,545","12,938","12,405","11,959","11,497","11,022","10,904","10,904"
...AIAN,"5,071","4,722","4,320","3,945","3,657","3,384","3,165","2,910","2,650","2,388","2,365","2,365"
...Asian,"1,902","1,759","1,613","1,493","1,410","1,334","1,287","1,231","1,172","1,101","1,088","1,088"
...NHPI,919,862,803,763,736,710,693,678,647,618,614,615
..Two or More Races,"5,569","5,130","4,666","4,194","3,810","3,471","3,182","2,922","2,664","2,390","2,362","2,366"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"292,961","276,689","256,339","233,512","214,226","196,917","182,499","168,242","153,760","138,393","136,934","136,964"
...Black,"21,001","19,389","17,892","16,724","15,703","14,899","14,198","13,617","12,997","12,381","12,250","12,253"
...AIAN,"7,082","6,603","6,036","5,518","5,084","4,707","4,389","4,045","3,698","3,353","3,315","3,317"
...Asian,"3,454","3,170","2,894","2,628","2,430","2,261","2,149","1,986","1,868","1,722","1,702","1,702"
...NHPI,"1,524","1,403","1,301","1,198","1,120","1,074","1,026",979,914,862,858,859
1 'In combination' means in combination with one or more other races.  The sum of the five race groups adds to more than the total population because individuals may report more than one race.,,,,,,,,,,,,
"Note: The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; NHPI = Native Hawaiian and Other Pacific Islander.  The original race data from Census 2000 are modified to eliminate the ""Some Other Race"" category. For more information see https://www.census.gov/popest/archives/files/MRSF-01-US1.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Carolina: April 1, 2000 to July 1, 2009 (SC-EST2009-03-37)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2010,,,,,,,,,,,,
,,,,,,,,,,,,
