"","State","Year","Month","quantity.sum","total_cost.sum","npr_ammo_quantity.sum","npr_ammo_totalcost.sum","npr_armor_quantity.sum","npr_armor_totalcost.sum","npr_bags_quantity.sum","npr_bags_totalcost.sum","npr_boats_quantity.sum","npr_boats_totalcost.sum","npr_camping_quantity.sum","npr_camping_totalcost.sum","npr_car_quantity.sum","npr_car_totalcost.sum","npr_cooking_quantity.sum","npr_cooking_totalcost.sum","npr_clothing_quantity.sum","npr_clothing_totalcost.sum","npr_disaster_quantity.sum","npr_disaster_totalcost.sum","npr_electro_quantity.sum","npr_electro_totalcost.sum","npr_farming_quantity.sum","npr_farming_totalcost.sum","npr_generator_quantity.sum","npr_generator_totalcost.sum","npr_guncase_quantity.sum","npr_guncase_totalcost.sum","npr_lights_quantity.sum","npr_lights_totalcost.sum","npr_material_quantity.sum","npr_material_totalcost.sum","npr_med_quantity.sum","npr_med_totalcost.sum","npr_office_quantity.sum","npr_office_totalcost.sum","npr_plane_quantity.sum","npr_plane_totalcost.sum","npr_quallife_quantity.sum","npr_quallife_totalcost.sum","npr_record_quantity.sum","npr_record_totalcost.sum","npr_rope_quantity.sum","npr_rope_totalcost.sum","npr_shipping_quantity.sum","npr_shipping_totalcost.sum","npr_signs_quantity.sum","npr_signs_totalcost.sum","npr_training_quantity.sum","npr_training_totalcost.sum","npr_tools_quantity.sum","npr_tools_totalcost.sum","npr_weapon_quantity.sum","npr_weapon_totalcost.sum","State","Year","Month","day.mean"
"28","Alabama","2009","March",177,297354.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3255.05,0,0,0,0,0,0,0,0,0,0,108,249771.68,"Alabama","2009","March",17
"29","Alabama","2009","April",286,81710.09,150,24.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1753,0,0,0,0,0,0,0,0,0,0,55,2204.4,"Alabama","2009","April",14.8076923076923
"30","Alabama","2009","May",200,908415.39,146,27.93,10,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,342,0,0,0,0,0,0,0,0,0,0,43,1134.96,"Alabama","2009","May",19
"31","Alabama","2009","June",226,1061514.82,0,0,11,75,0,0,0,0,0,0,2,253330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2000,50,17165.05,0,0,0,0,0,0,3,94060.35,0,0,107,5527.9,"Alabama","2009","June",11.9090909090909
"32","Alabama","2009","July",163,278680.81,82,18.62,28,1434.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11526,0,0,0,0,0,0,0,0,0,0,26,4191,"Alabama","2009","July",21.4166666666667
"33","Alabama","2009","August",1372,418452.69,1250,102.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19300,0,0,0,0,0,0,106,245788.46,0,0,0,0,0,0,0,0,0,0,10,905,"Alabama","2009","August",17.6
"34","Alabama","2009","September",67,48986.66,0,0,19,693.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833.13,0,0,20,5630,0,0,0,0,0,0,0,0,0,0,26,2021.43,"Alabama","2009","September",12.6315789473684
"35","Alabama","2009","October",130,47940.79,50,9.31,4,265.71,0,0,0,0,0,0,0,0,0,0,25,20.3,7,301.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7200,21,3034.07,0,0,0,0,0,0,0,0,0,0,19,1933.7,"Alabama","2009","October",16.7333333333333
"36","Alabama","2009","November",241,69503.39,145,8.46,25,5.81,0,0,0,0,0,0,5,0,0,0,4,28.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3359.35,0,0,24,5234.83,0,0,0,0,5,259,0,0,0,0,3,2797.29,"Alabama","2009","November",13.25
"37","Alabama","2009","December",203,104979.49,40,4.23,0,0,0,0,0,0,0,0,0,0,0,0,25,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14394.16,7,2592,0,0,0,0,0,0,1,0,0,0,69,2457.53,"Alabama","2009","December",13.75
