"","State","Year","Month","quantity.sum","total_cost.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State.1","Year.1","Month.1","day.mean","army_clothing_bags_quantity.sum","army_clothing_bags_totalcost.sum"
"84","Alabama",2013,"November",2557,3441275.98,355,5550.25,105,188716.61,30,116.4,49,52661.65,116,25333.35,53,32198.75,"Alabama",2013,"November",15.2006578947368,0,0
"83","Alabama",2013,"October",1908,6795119.47,71,3388085.37,57,101408.3,88,546,49,79304.6,44,1855.92,191,22873.24,"Alabama",2013,"October",15.6,0,0
"82","Alabama",2013,"September",2789,6448911.45,32,1483291.08,195,327882.51,100,931,15,100437.42,330,41940.47,169,24135.23,"Alabama",2013,"September",14.1544943820225,0,0
"89","Alabama",2014,"April",248,181034.26,10,508.1,0,0,150,1862,0,0,0,0,32,1417.86,"Alabama",2014,"April",11,0,0
"87","Alabama",2014,"February",15920,1988574.27,19,6498,31,38108.48,0,0,13,97507.84,27,1824.52,65,6773.48,"Alabama",2014,"February",10.5,0,0
"86","Alabama",2014,"January",1952,3867367.67,75,6103.14,95,127251.33,10,99.8,42,65647.65,37,30847.48,44,41455.72,"Alabama",2014,"January",15.6156583629893,0,0
"88","Alabama",2014,"March",351,517898.86,3,1990.71,7,0,0,0,8,74345.84,0,0,3,324.87,"Alabama",2014,"March",10.0384615384615,0,0
"3554","Alaska",2005,"December",47,54413,38,15713,9,38700,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"90","Alaska",2006,"May",38,15713,38,15713,0,0,0,0,0,0,0,0,0,0,"Alaska",2006,"May",19,0,0
"91","Alaska",2007,"May",4,552,4,552,0,0,0,0,0,0,0,0,0,0,"Alaska",2007,"May",7,0,0
"92","Alaska",2008,"June",3,37500,0,0,3,37500,0,0,0,0,0,0,0,0,"Alaska",2008,"June",26,0,0
"95","Alaska",2009,"December",5,1126.15,5,1126.15,0,0,0,0,0,0,0,0,0,0,"Alaska",2009,"December",4,0,0
"93","Alaska",2009,"January",20,4121.6,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska",2009,"January",7,0,0
"94","Alaska",2009,"May",18,518.58,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska",2009,"May",27,0,0
"100","Alaska",2010,"December",15,10213.11,3,125.01,12,10088.1,0,0,0,0,0,0,0,0,"Alaska",2010,"December",12.25,0,0
"96","Alaska",2010,"February",3,1026,0,0,3,1026,0,0,0,0,0,0,0,0,"Alaska",2010,"February",18,0,0
"97","Alaska",2010,"July",35,8594.35,0,0,20,6560,0,0,0,0,0,0,0,0,"Alaska",2010,"July",17.5,0,0
"99","Alaska",2010,"October",4,1324,0,0,4,1324,0,0,0,0,0,0,0,0,"Alaska",2010,"October",17,0,0
"98","Alaska",2010,"September",27,2686,26,2600,0,0,0,0,0,0,0,0,0,0,"Alaska",2010,"September",24.6666666666667,0,0
"106","Alaska",2011,"December",29,462861.93,1,460000,0,0,0,0,0,0,0,0,0,0,"Alaska",2011,"December",21.7391304347826,0,0
"102","Alaska",2011,"February",2,668,0,0,2,668,0,0,0,0,0,0,0,0,"Alaska",2011,"February",1,0,0
"101","Alaska",2011,"January",3,3090,0,0,3,3090,0,0,0,0,0,0,0,0,"Alaska",2011,"January",6,0,0
"103","Alaska",2011,"June",8,2720,0,0,8,2720,0,0,0,0,0,0,0,0,"Alaska",2011,"June",9,0,0
"105","Alaska",2011,"October",58,130790,58,130790,0,0,0,0,0,0,0,0,0,0,"Alaska",2011,"October",28,0,0
"104","Alaska",2011,"September",5,731.25,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska",2011,"September",3,0,0
"110","Alaska",2012,"April",19,22629.85,2,11772,0,0,0,0,1,10000,0,0,0,0,"Alaska",2012,"April",12,0,0
"114","Alaska",2012,"August",199,76841.42,123,61377,0,0,0,0,0,0,0,0,0,0,"Alaska",2012,"August",26.4429530201342,0,0
"108","Alaska",2012,"February",139,11480.17,0,0,0,0,0,0,0,0,0,0,4,1395.2,"Alaska",2012,"February",11.7272727272727,0,0
"107","Alaska",2012,"January",87,37428.33,0,0,1,22000,0,0,2,10390,0,0,0,0,"Alaska",2012,"January",18,0,0
"113","Alaska",2012,"July",187,39516.82,0,0,2,10000,0,0,0,0,0,0,0,0,"Alaska",2012,"July",5.15555555555556,0,0
"112","Alaska",2012,"June",56,17758.11,0,0,1,6761.95,0,0,1,5965.98,0,0,0,0,"Alaska",2012,"June",11.8571428571429,0,0
"109","Alaska",2012,"March",6,30931.67,2,11772,3,120,0,0,0,0,0,0,0,0,"Alaska",2012,"March",15.3333333333333,0,0
"111","Alaska",2012,"May",37,39794.75,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska",2012,"May",24.6666666666667,0,0
"115","Alaska",2012,"October",91,2942.78,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska",2012,"October",10,0,0
"118","Alaska",2014,"April",35,8432.25,0,0,0,0,0,0,0,0,0,0,0,0,"Alaska",2014,"April",14,0,0
