"","State","Year","Month","Quantity.sum","Acquisition.Value.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State","Year","Month","day.mean"
"82","Alabama","2012","July",244,1293780.68,100,12644.94,79,120284.4,16,12.11,0,0,0,0,0,0,"Alabama","2012","July",13.2835820895522
"83","Alabama","2012","August",156,723860.58,43,4246.23,88,81201.12,0,0,0,0,0,0,0,0,"Alabama","2012","August",24.008
"84","Alabama","2012","September",141,267405,108,3331,28,37448,0,0,0,0,0,0,0,0,"Alabama","2012","September",6.03731343283582
"85","Alabama","2012","October",280,397900.45,118,1646.14,46,130600,77,12.11,1,92901.9,0,0,0,0,"Alabama","2012","October",24.1454545454545
"86","Alabama","2012","November",203,429504.81,41,32662,57,137915.77,70,56.98,0,0,0,0,0,0,"Alabama","2012","November",18.125
"87","Alabama","2012","December",1125,948461.25,673,303909.1,38,76311.84,342,236.43,0,0,0,0,0,0,"Alabama","2012","December",12.7070422535211
"88","Alabama","2013","January",1593,579693.12,653,53547.87,161,82507.96,549,677.45,0,0,0,0,0,0,"Alabama","2013","January",17.5889145496536
"89","Alabama","2013","February",710,504244.01,188,62082.46,16,37898.95,480,48.44,0,0,0,0,0,0,"Alabama","2013","February",12.9759036144578
"90","Alabama","2013","March",5,151493.11,1,65070,1,6392,0,0,0,0,0,0,0,0,"Alabama","2013","March",15.75
"91","Alabama","2013","April",404,634989.05,83,5038.77,45,363788.94,204,16.39,0,0,0,0,0,0,"Alabama","2013","April",16.046875
"92","Alabama","2013","May",671,835650.76,397,597582.4,38,42744.86,165,16.39,0,0,0,0,0,0,"Alabama","2013","May",22.9068322981366
"93","Alabama","2013","June",1718,1496270.95,31,65770.45,20,214940,1625,53.45,0,0,0,0,0,0,"Alabama","2013","June",11.4920634920635
"94","Alabama","2013","July",114,1088894.92,10,1324,0,0,42,12.11,0,0,0,0,0,0,"Alabama","2013","July",13.2571428571429
"95","Alabama","2013","August",177,1526905.66,53,658336.4,16,45512,1,19.42,0,0,0,0,0,0,"Alabama","2013","August",13.6923076923077
"96","Alabama","2013","September",343,3719983.28,112,1505077.37,59,93967.42,100,12.11,0,0,0,0,0,0,"Alabama","2013","September",10.76
"97","Alabama","2013","October",169,4428722.82,35,3376118.81,40,63948,40,12.11,0,0,0,0,0,0,"Alabama","2013","October",11.24
"98","Alabama","2013","November",365,802633.34,162,167.02,86,103342,6,44.87,0,0,0,0,0,0,"Alabama","2013","November",14
"99","Alabama","2013","December",1115,744580.39,62,3310.01,29,89969.47,488,96.88,0,0,0,0,0,0,"Alabama","2013","December",12.4057971014493
"100","Alabama","2014","January",425,795648.01,65,2385.42,19,88141.6,10,12.11,0,0,0,0,0,0,"Alabama","2014","January",17.3260869565217
"101","Alabama","2014","February",102,359478.53,36,691.32,4,2129,0,0,0,0,0,0,0,0,"Alabama","2014","February",8.46153846153846
"102","Alabama","2014","March",11899,5637844.98,1286,475898.8,1621,980226.62,1421,835.27,1,26435,0,0,36,63157,"Alabama","2014","March",17.9889705882353
"103","Alabama","2014","April",27,53415.82,8,98.84,0,0,0,0,0,0,0,0,0,0,"Alabama","2014","April",14.4285714285714
"104","Alabama","2014","May",15,970.43,6,778,0,0,0,0,0,0,0,0,0,0,"Alabama","2014","May",8.33333333333333
"105","Alabama","2014","June",3,192.43,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2014","June",27
"106","Alabama","2014","August",56,41073.11,0,0,0,0,55,12.11,0,0,0,0,0,0,"Alabama","2014","August",18.5
"107","Alabama","2014","October",2,67520,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama","2014","October",12
"108","Alabama","2014","December",168,27429.86,19,20952.51,15,33.67,0,0,0,0,0,0,0,0,"Alabama","2014","December",10.6595744680851
"109","Alabama","2015","January",61,4234.13,1,2130,0,0,0,0,0,0,0,0,0,0,"Alabama","2015","January",7.58333333333333
"110","Alabama","2015","February",193,331499.48,0,0,89,317303.06,0,0,0,0,0,0,0,0,"Alabama","2015","February",10.9473684210526
"111","Alabama","2015","March",471,7192.04,50,14.71,3,50,0,0,0,0,0,0,0,0,"Alabama","2015","March",23.4339622641509
"112","Alabama","2015","April",110,2269.31,15,42,2,2100,0,0,0,0,0,0,0,0,"Alabama","2015","April",5.125
"113","Alabama","2015","May",345,769515.88,11,200.27,31,500,0,0,1,16400,0,0,0,0,"Alabama","2015","May",16.6341463414634
"114","Alabama","2015","June",198,2903171.22,38,2317,20,864,0,0,0,0,0,0,0,0,"Alabama","2015","June",16.9605263157895
