"","State","Year","Month","civil_noninstitutionalpop","laborforce","percentlaborforce","totalemploy","peremploy","totalunemploy","unemployrate"
"14168","Iowa","1998","April",2210810,1596990,72.2,1553359,70.3,43631,2.7
"14169","Kansas","1998","April",1971182,1408359,71.4,1358766,68.9,49593,3.5
"14170","Kentucky","1998","April",3027978,1926907,63.6,1839027,60.7,87880,4.6
"14171","Louisiana","1998","April",3258129,2048231,62.9,1931471,59.3,116760,5.7
"14172","Maine","1998","April",974683,650435,66.7,621262,63.7,29173,4.5
"14173","Maryland","1998","April",3911467,2763887,70.7,2637103,67.4,126784,4.6
"14174","Massachusetts","1998","April",4846007,3327203,68.7,3216711,66.4,110492,3.3
"14175","Michigan","1998","April",7424976,4997105,67.3,4810314,64.8,186791,3.7
"14176","Minnesota","1998","April",3616506,2704050,74.8,2632837,72.8,71213,2.6
"14177","Mississippi","1998","April",2063189,1274116,61.8,1206910,58.5,67206,5.3
"14178","Missouri","1998","April",4157155,2921402,70.3,2792249,67.2,129153,4.4
"14179","Montana","1998","April",675627,458385,67.8,432994,64.1,25391,5.5
"14180","Nebraska","1998","April",1264376,927853,73.4,905383,71.6,22470,2.4
"14181","Nevada","1998","April",1402561,968494,69.1,925324,66,43170,4.5
"14182","New Hampshire","1998","April",917572,658616,71.8,640332,69.8,18284,2.8
"14183","New Jersey","1998","April",6341824,4246650,67,4043772,63.8,202878,4.8
"14184","New Mexico","1998","April",1313224,834997,63.6,783759,59.7,51238,6.1
"14185","New York","1998","April",14363088,9049399,63,8533929,59.4,515470,5.7
"14188","North Dakota","1998","April",486198,350690,72.1,341333,70.2,9357,2.7
"14189","Ohio","1998","April",8567938,5694909,66.5,5454847,63.7,240062,4.2
"14190","Oklahoma","1998","April",2529879,1630526,64.5,1561965,61.7,68561,4.2
"14191","Oregon","1998","April",2574050,1774940,69,1675468,65.1,99472,5.6
"14192","Pennsylvania","1998","April",9433002,6057801,64.2,5779445,61.3,278356,4.6
"14193","Rhode Island","1998","April",798826,531649,66.6,506373,63.4,25276,4.8
"14194","South Carolina","1998","April",2935797,1927202,65.6,1859421,63.3,67781,3.5
"14195","South Dakota","1998","April",550883,397726,72.2,386455,70.2,11271,2.8
"14196","Tennessee","1998","April",4261508,2795482,65.6,2675851,62.8,119631,4.3
"14197","Texas","1998","April",14576135,10048239,68.9,9561837,65.6,486402,4.8
