"","State","Year","Month","civil_noninstitutionalpop","laborforce","percentlaborforce","totalemploy","peremploy","totalunemploy","unemployrate"
"19046","Kentucky","2005","December",3226778,2011072,62.3,1889255,58.5,121817,6.1
"19047","Louisiana","2005","December",3164830,2028451,64.1,1871293,59.1,157158,7.7
"19048","Maine","2005","December",1047375,700069,66.8,667578,63.7,32491,4.6
"19049","Maryland","2005","December",4277029,2940163,68.7,2828403,66.1,111760,3.8
"19050","Massachusetts","2005","December",5079565,3387813,66.7,3221817,63.4,165996,4.9
"19051","Michigan","2005","December",7755832,5085947,65.6,4743436,61.2,342511,6.7
"19052","Minnesota","2005","December",3950331,2887654,73.1,2768932,70.1,118722,4.1
"19053","Mississippi","2005","December",2125280,1298333,61.1,1189946,56,108387,8.3
"19054","Missouri","2005","December",4462051,2999143,67.2,2849062,63.9,150081,5
"19055","Montana","2005","December",733738,489666,66.7,470528,64.1,19138,3.9
"19056","Nebraska","2005","December",1329407,970381,73,936614,70.5,33767,3.5
"19057","Nevada","2005","December",1850497,1247874,67.4,1199357,64.8,48517,3.9
"19058","New Hampshire","2005","December",1026045,728416,71,703365,68.6,25051,3.4
"19059","New Jersey","2005","December",6649738,4426805,66.6,4211240,63.3,215565,4.9
"19060","New Mexico","2005","December",1450277,921710,63.6,880769,60.7,40941,4.4
"19061","New York","2005","December",15064730,9497140,63,9031951,60,465189,4.9
"19064","North Dakota","2005","December",492928,357530,72.5,345867,70.2,11663,3.3
"19065","Ohio","2005","December",8843248,5906614,66.8,5575650,63,330964,5.6
"19066","Oklahoma","2005","December",2673539,1710469,64,1640183,61.3,70286,4.1
"19067","Oregon","2005","December",2849175,1855114,65.1,1749566,61.4,105548,5.7
"19068","Pennsylvania","2005","December",9738584,6254184,64.2,5959509,61.2,294675,4.7
"19069","Rhode Island","2005","December",837949,569791,68,540505,64.5,29286,5.1
"19070","South Carolina","2005","December",3267963,2089248,63.9,1949541,59.7,139707,6.7
"19071","South Dakota","2005","December",593279,431134,72.7,416665,70.2,14469,3.4
"19072","Tennessee","2005","December",4650602,2947031,63.4,2791109,60,155922,5.3
"19073","Texas","2005","December",16761096,11231763,67,10639901,63.5,591862,5.3
"19074","Utah","2005","December",1804466,1293421,71.7,1246724,69.1,46697,3.6
"19075","Vermont","2005","December",497626,355255,71.4,342626,68.9,12629,3.6
"19076","Virginia","2005","December",5749362,3935362,68.4,3805995,66.2,129367,3.3
"19077","Washington","2005","December",4864388,3290495,67.6,3120259,64.1,170236,5.2
"19078","West Virginia","2005","December",1437956,798779,55.5,760124,52.9,38655,4.8
"19079","Wisconsin","2005","December",4305860,3035981,70.5,2891493,67.2,144488,4.8
"19080","Wyoming","2005","December",392682,278492,70.9,268841,68.5,9651,3.5
"19081","Alabama","2006","January",3503666,2152923,61.4,2064552,58.9,88371,4.1
"19082","Alaska","2006","January",485968,347566,71.5,323584,66.6,23982,6.9
"19083","Arizona","2006","January",4561185,2937640,64.4,2811803,61.6,125837,4.3
"19084","Arkansas","2006","January",2130322,1363664,64,1295202,60.8,68462,5
"19085","California","2006","January",26930839,17557460,65.2,16678345,61.9,879115,5
"19087","Colorado","2006","January",3589857,2591821,72.2,2475334,69,116487,4.5
"19088","Connecticut","2006","January",2688340,1812485,67.4,1731235,64.4,81250,4.5
"19089","Delaware","2006","January",652379,440430,67.5,422962,64.8,17468,4
"19090","District of Columbia","2006","January",469028,313585,66.9,295643,63,17942,5.7
"19091","Florida","2006","January",14065590,8857207,63,8573792,61,283415,3.2
"19092","Georgia","2006","January",6843197,4646239,67.9,4416673,64.5,229566,4.9
"19093","Hawaii","2006","January",957451,634576,66.3,617270,64.5,17306,2.7
"19094","Idaho","2006","January",1073261,742729,69.2,715102,66.6,27627,3.7
"19095","Illinois","2006","January",9652716,6442547,66.7,6115802,63.4,326745,5.1
"19096","Indiana","2006","January",4778850,3228339,67.6,3062210,64.1,166129,5.1
"19097","Iowa","2006","January",2284916,1641997,71.9,1578087,69.1,63910,3.9
"19098","Kansas","2006","January",2075320,1462090,70.5,1394433,67.2,67657,4.6
"19099","Kentucky","2006","January",3229869,2012519,62.3,1892268,58.6,120251,6
"19100","Louisiana","2006","January",3166964,1997594,63.1,1872994,59.1,124600,6.2
"19101","Maine","2006","January",1047909,699791,66.8,668010,63.7,31781,4.5
"19102","Maryland","2006","January",4280040,2942951,68.8,2832784,66.2,110167,3.7
"19103","Massachusetts","2006","January",5081434,3389544,66.7,3223741,63.4,165803,4.9
"19104","Michigan","2006","January",7757479,5085500,65.6,4739907,61.1,345593,6.8
"19105","Minnesota","2006","January",3953580,2888614,73.1,2770443,70.1,118171,4.1
"19106","Mississippi","2006","January",2127247,1293582,60.8,1191755,56,101827,7.9
"19107","Missouri","2006","January",4466089,3001782,67.2,2853570,63.9,148212,4.9
"19108","Montana","2006","January",734619,490204,66.7,471519,64.2,18685,3.8
"19109","Nebraska","2006","January",1330057,969551,72.9,937004,70.4,32547,3.4
"19110","Nevada","2006","January",1855912,1253502,67.5,1205105,64.9,48397,3.9
"19111","New Hampshire","2006","January",1027051,728355,70.9,703915,68.5,24440,3.4
"19112","New Jersey","2006","January",6651518,4429476,66.6,4213289,63.3,216187,4.9
"19113","New Mexico","2006","January",1452381,922331,63.5,882857,60.8,39474,4.3
"19114","New York","2006","January",15071428,9496465,63,9039430,60,457035,4.8
"19117","North Dakota","2006","January",493054,357999,72.6,346462,70.3,11537,3.2
"19118","Ohio","2006","January",8845558,5905404,66.8,5582589,63.1,322815,5.5
"19119","Oklahoma","2006","January",2676326,1710431,63.9,1641089,61.3,69342,4.1
"19120","Oregon","2006","January",2853540,1857761,65.1,1754806,61.5,102955,5.5
"19121","Pennsylvania","2006","January",9743262,6256973,64.2,5966593,61.2,290380,4.6
"19122","Rhode Island","2006","January",837917,570148,68,541105,64.6,29043,5.1
"19123","South Carolina","2006","January",3273927,2091901,63.9,1953924,59.7,137977,6.6
"19124","South Dakota","2006","January",593857,431266,72.6,417355,70.3,13911,3.2
"19125","Tennessee","2006","January",4657345,2959257,63.5,2803002,60.2,156255,5.3
"19126","Texas","2006","January",16781676,11241062,67,10654741,63.5,586321,5.2
"19127","Utah","2006","January",1809287,1296849,71.7,1252100,69.2,44749,3.5
"19128","Vermont","2006","January",497880,355863,71.5,343301,69,12562,3.5
"19129","Virginia","2006","January",5755845,3938536,68.4,3813157,66.2,125379,3.2
"19130","Washington","2006","January",4872643,3293767,67.6,3127129,64.2,166638,5.1
"19131","West Virginia","2006","January",1438237,799731,55.6,761890,53,37841,4.7
"19132","Wisconsin","2006","January",4308593,3038162,70.5,2894788,67.2,143374,4.7
"19133","Wyoming","2006","January",393128,278802,70.9,269428,68.5,9374,3.4
"19134","Alabama","2006","February",3507068,2154416,61.4,2066971,58.9,87445,4.1
"19135","Alaska","2006","February",486740,348118,71.5,324279,66.6,23839,6.8
"19136","Arizona","2006","February",4574548,2948973,64.5,2824140,61.7,124833,4.2
"19137","Arkansas","2006","February",2132647,1364807,64,1296142,60.8,68665,5
"19138","California","2006","February",26947217,17562116,65.2,16692767,61.9,869349,5
"19140","Colorado","2006","February",3595664,2598371,72.3,2483599,69.1,114772,4.4
"19141","Connecticut","2006","February",2689362,1815064,67.5,1735393,64.5,79671,4.4
"19142","Delaware","2006","February",653305,440432,67.4,423562,64.8,16870,3.8
"19143","District of Columbia","2006","February",469249,313651,66.8,295592,63,18059,5.8
"19144","Florida","2006","February",14085252,8879126,63,8598835,61,280291,3.2
"19145","Georgia","2006","February",6856084,4654101,67.9,4429153,64.6,224948,4.8
"19146","Hawaii","2006","February",958135,635051,66.3,617586,64.5,17465,2.8
"19147","Idaho","2006","February",1075601,744282,69.2,716735,66.6,27547,3.7
"19148","Illinois","2006","February",9656519,6451620,66.8,6135825,63.5,315795,4.9
"19149","Indiana","2006","February",4781693,3230248,67.6,3066352,64.1,163896,5.1
"19150","Iowa","2006","February",2285822,1644891,72,1582984,69.3,61907,3.8
"19151","Kansas","2006","February",2075909,1462222,70.4,1395876,67.2,66346,4.5
"19152","Kentucky","2006","February",3232798,2014163,62.3,1895918,58.6,118245,5.9
"19153","Louisiana","2006","February",3169757,1985391,62.6,1878209,59.3,107182,5.4
"19154","Maine","2006","February",1048355,699640,66.7,668395,63.8,31245,4.5
"19155","Maryland","2006","February",4282638,2946848,68.8,2837084,66.2,109764,3.7
"19156","Massachusetts","2006","February",5082903,3392005,66.7,3226380,63.5,165625,4.9
"19157","Michigan","2006","February",7758526,5085455,65.5,4737300,61.1,348155,6.8
"19158","Minnesota","2006","February",3956568,2887878,73,2771485,70,116393,4
"19159","Mississippi","2006","February",2129927,1287741,60.5,1194290,56.1,93451,7.3
"19160","Missouri","2006","February",4469775,3005475,67.2,2859676,64,145799,4.9
"19161","Montana","2006","February",735491,491011,66.8,472698,64.3,18313,3.7
"19162","Nebraska","2006","February",1330588,968824,72.8,937446,70.5,31378,3.2
"19163","Nevada","2006","February",1861136,1259746,67.7,1210967,65.1,48779,3.9
"19164","New Hampshire","2006","February",1028027,728493,70.9,704541,68.5,23952,3.3
"19165","New Jersey","2006","February",6652616,4432329,66.6,4216427,63.4,215902,4.9
"19166","New Mexico","2006","February",1454313,923309,63.5,884956,60.9,38353,4.2
"19167","New York","2006","February",15076445,9499495,63,9048616,60,450879,4.7
"19170","North Dakota","2006","February",493192,358520,72.7,347065,70.4,11455,3.2
"19171","Ohio","2006","February",8847270,5906320,66.8,5590658,63.2,315662,5.3
"19172","Oklahoma","2006","February",2678907,1710415,63.8,1641831,61.3,68584,4
"19173","Oregon","2006","February",2857633,1861395,65.1,1760605,61.6,100790,5.4
"19174","Pennsylvania","2006","February",9747075,6262431,64.2,5975029,61.3,287402,4.6
"19175","Rhode Island","2006","February",837807,570604,68.1,541859,64.7,28745,5
"19176","South Carolina","2006","February",3279623,2095256,63.9,1958483,59.7,136773,6.5
"19177","South Dakota","2006","February",594424,431488,72.6,418070,70.3,13418,3.1
"19178","Tennessee","2006","February",4663797,2972993,63.7,2816072,60.4,156921,5.3
"19179","Texas","2006","February",16808414,11251338,66.9,10670407,63.5,580931,5.2
"19180","Utah","2006","February",1814025,1300678,71.7,1257816,69.3,42862,3.3
"19181","Vermont","2006","February",498164,356276,71.5,343787,69,12489,3.5
"19182","Virginia","2006","February",5761823,3943445,68.4,3821180,66.3,122265,3.1
"19183","Washington","2006","February",4880489,3298131,67.6,3133741,64.2,164390,5
"19184","West Virginia","2006","February",1438480,800963,55.7,763456,53.1,37507,4.7
"19185","Wisconsin","2006","February",4311099,3040944,70.5,2898647,67.2,142297,4.7
"19186","Wyoming","2006","February",393646,279176,70.9,270081,68.6,9095,3.3
"19187","Alabama","2006","March",3510348,2156710,61.4,2069546,59,87164,4
"19188","Alaska","2006","March",487558,348731,71.5,325085,66.7,23646,6.8
"19189","Arizona","2006","March",4587109,2959993,64.5,2835727,61.8,124266,4.2
"19190","Arkansas","2006","March",2134861,1365568,64,1296396,60.7,69172,5.1
"19191","California","2006","March",26956842,17573992,65.2,16709821,62,864171,4.9
"19193","Colorado","2006","March",3601065,2604768,72.3,2491156,69.2,113612,4.4
"19194","Connecticut","2006","March",2690127,1817591,67.6,1739098,64.6,78493,4.3
"19195","Delaware","2006","March",654229,440376,67.3,424032,64.8,16344,3.7
"19196","District of Columbia","2006","March",469395,313968,66.9,295785,63,18183,5.8
"19197","Florida","2006","March",14102496,8904085,63.1,8624777,61.2,279308,3.1
"19198","Georgia","2006","March",6868440,4664491,67.9,4441660,64.7,222831,4.8
"19199","Hawaii","2006","March",958572,635636,66.3,617909,64.5,17727,2.8
"19200","Idaho","2006","March",1077916,745456,69.2,718179,66.6,27277,3.7
"19201","Illinois","2006","March",9659302,6463145,66.9,6156754,63.7,306391,4.7
"19202","Indiana","2006","March",4784419,3232545,67.6,3068966,64.1,163579,5.1
"19203","Iowa","2006","March",2286724,1648328,72.1,1587996,69.4,60332,3.7
"19204","Kansas","2006","March",2076427,1462577,70.4,1397300,67.3,65277,4.5
"19205","Kentucky","2006","March",3235660,2015994,62.3,1899649,58.7,116345,5.8
"19206","Louisiana","2006","March",3174981,1978922,62.3,1883109,59.3,95813,4.8
"19207","Maine","2006","March",1048785,699657,66.7,668641,63.8,31016,4.4
"19208","Maryland","2006","March",4284856,2951650,68.9,2840787,66.3,110863,3.8
"19209","Massachusetts","2006","March",5084043,3395264,66.8,3229640,63.5,165624,4.9
"19210","Michigan","2006","March",7759212,5084885,65.5,4734530,61,350355,6.9
"19211","Minnesota","2006","March",3959476,2885949,72.9,2771930,70,114019,4
"19212","Mississippi","2006","March",2134966,1285286,60.2,1196835,56.1,88451,6.9
"19213","Missouri","2006","March",4473367,3009954,67.3,2866198,64.1,143756,4.8
"19214","Montana","2006","March",736318,492152,66.8,474113,64.4,18039,3.7
"19215","Nebraska","2006","March",1331045,968378,72.8,937891,70.5,30487,3.1
"19216","Nevada","2006","March",1866056,1266354,67.9,1216771,65.2,49583,3.9
"19217","New Hampshire","2006","March",1028953,728928,70.8,705201,68.5,23727,3.3
"19218","New Jersey","2006","March",6652747,4435468,66.7,4219805,63.4,215663,4.9
"19219","New Mexico","2006","March",1455737,924595,63.5,886837,60.9,37758,4.1
"19220","New York","2006","March",15079345,9504909,63,9057047,60.1,447862,4.7
"19223","North Dakota","2006","March",493276,359065,72.8,347623,70.5,11442,3.2
"19224","Ohio","2006","March",8848684,5910596,66.8,5598647,63.3,311949,5.3
"19225","Oklahoma","2006","March",2681324,1710491,63.8,1642543,61.3,67948,4
"19226","Oregon","2006","March",2861501,1865978,65.2,1766627,61.7,99351,5.3
"19227","Pennsylvania","2006","March",9750419,6269370,64.3,5982803,61.4,286567,4.6
"19228","Rhode Island","2006","March",837636,571095,68.2,542618,64.8,28477,5
"19229","South Carolina","2006","March",3285071,2098700,63.9,1962238,59.7,136462,6.5
"19230","South Dakota","2006","March",594965,431893,72.6,418803,70.4,13090,3
"19231","Tennessee","2006","March",4670063,2988204,64,2829732,60.6,158472,5.3
"19232","Texas","2006","March",16856023,11263841,66.8,10687000,63.4,576841,5.1
"19233","Utah","2006","March",1818717,1304972,71.8,1263608,69.5,41364,3.2
"19234","Vermont","2006","March",498398,356523,71.5,344052,69,12471,3.5
"19235","Virginia","2006","March",5767386,3949778,68.5,3829136,66.4,120642,3.1
"19236","Washington","2006","March",4888004,3303379,67.6,3139445,64.2,163934,5
"19237","West Virginia","2006","March",1438683,802411,55.8,764615,53.1,37796,4.7
"19238","Wisconsin","2006","March",4313453,3044294,70.6,2902604,67.3,141690,4.7
"19239","Wyoming","2006","March",394067,279617,71,270748,68.7,8869,3.2
"19240","Alabama","2006","April",3513803,2159699,61.5,2072202,59,87497,4.1
"19241","Alaska","2006","April",488418,349349,71.5,325902,66.7,23447,6.7
"19242","Arizona","2006","April",4599748,2970034,64.6,2845984,61.9,124050,4.2
"19243","Arkansas","2006","April",2137212,1365755,63.9,1295937,60.6,69818,5.1
"19244","California","2006","April",26966975,17590510,65.2,16727112,62,863398,4.9
"19246","Colorado","2006","April",3606595,2610868,72.4,2497803,69.3,113065,4.3
"19247","Connecticut","2006","April",2690984,1820156,67.6,1742226,64.7,77930,4.3
"19248","Delaware","2006","April",655160,440383,67.2,424399,64.8,15984,3.6
"19249","District of Columbia","2006","April",469569,314497,67,296187,63.1,18310,5.8
"19250","Florida","2006","April",14120197,8930148,63.2,8649505,61.3,280643,3.1
"19251","Georgia","2006","April",6881073,4676336,68,4453461,64.7,222875,4.8
"19252","Hawaii","2006","April",959152,636318,66.3,618382,64.5,17936,2.8
"19253","Idaho","2006","April",1080272,746214,69.1,719407,66.6,26807,3.6
"19254","Illinois","2006","April",9662467,6477172,67,6177478,63.9,299694,4.6
"19255","Indiana","2006","April",4787349,3234546,67.6,3069630,64.1,164916,5.1
"19256","Iowa","2006","April",2287744,1652204,72.2,1592607,69.6,59597,3.6
"19257","Kansas","2006","April",2076998,1463208,70.4,1398642,67.3,64566,4.4
"19258","Kentucky","2006","April",3238700,2018152,62.3,1903039,58.8,115113,5.7
"19259","Louisiana","2006","April",3180290,1976788,62.2,1886045,59.3,90743,4.6
"19260","Maine","2006","April",1049273,699845,66.7,668724,63.7,31121,4.4
"19261","Maryland","2006","April",4287265,2956765,69,2843557,66.3,113208,3.8
"19262","Massachusetts","2006","April",5085460,3399250,66.8,3233417,63.6,165833,4.9
"19263","Michigan","2006","April",7760312,5083044,65.5,4730509,61,352535,6.9
"19264","Minnesota","2006","April",3962617,2883645,72.8,2771884,70,111761,3.9
"19265","Mississippi","2006","April",2140074,1284900,60,1199190,56,85710,6.7
"19266","Missouri","2006","April",4477206,3015008,67.3,2872029,64.1,142979,4.7
"19267","Montana","2006","April",737179,493457,66.9,475612,64.5,17845,3.6
"19268","Nebraska","2006","April",1331622,968333,72.7,938330,70.5,30003,3.1
"19269","Nevada","2006","April",1871057,1272997,68,1222424,65.3,50573,4
"19270","New Hampshire","2006","April",1029936,729633,70.8,705833,68.5,23800,3.3
"19271","New Jersey","2006","April",6653203,4438674,66.7,4222664,63.5,216010,4.9
"19272","New Mexico","2006","April",1457199,926072,63.6,888372,61,37700,4.1
"19273","New York","2006","April",15082831,9509285,63,9062158,60.1,447127,4.7
"19276","North Dakota","2006","April",493406,359596,72.9,348120,70.6,11476,3.2
"19277","Ohio","2006","April",8850579,5918107,66.9,5605632,63.3,312475,5.3
"19278","Oklahoma","2006","April",2683861,1710725,63.7,1643261,61.2,67464,3.9
"19279","Oregon","2006","April",2865540,1871252,65.3,1772483,61.9,98769,5.3
"19280","Pennsylvania","2006","April",9754252,6276476,64.3,5988593,61.4,287883,4.6
"19281","Rhode Island","2006","April",837492,571555,68.2,543263,64.9,28292,5
"19282","South Carolina","2006","April",3290670,2101475,63.9,1964577,59.7,136898,6.5
"19283","South Dakota","2006","April",595529,432537,72.6,419552,70.5,12985,3
"19284","Tennessee","2006","April",4676556,3004254,64.2,2843315,60.8,160939,5.4
"19285","Texas","2006","April",16903616,11278080,66.7,10704217,63.3,573863,5.1
"19286","Utah","2006","April",1823477,1309510,71.8,1269196,69.6,40314,3.1
"19287","Vermont","2006","April",498663,356677,71.5,344127,69,12550,3.5
"19288","Virginia","2006","April",5773199,3956779,68.5,3836157,66.4,120622,3
"19289","Washington","2006","April",4895740,3309028,67.6,3143928,64.2,165100,5
"19290","West Virginia","2006","April",1438942,803941,55.9,765271,53.2,38670,4.8
"19291","Wisconsin","2006","April",4316003,3048050,70.6,2906158,67.3,141892,4.7
"19292","Wyoming","2006","April",394526,280112,71,271372,68.8,8740,3.1
"19293","Alabama","2006","May",3517270,2162868,61.5,2074891,59,87977,4.1
"19294","Alaska","2006","May",489223,349881,71.5,326613,66.8,23268,6.7
"19295","Arizona","2006","May",4612292,2979184,64.6,2855316,61.9,123868,4.2
"19296","Arkansas","2006","May",2139601,1365254,63.8,1294870,60.5,70384,5.2
"19297","California","2006","May",26975501,17608806,65.3,16744724,62.1,864082,4.9
"19299","Colorado","2006","May",3612117,2616666,72.4,2503824,69.3,112842,4.3
"19300","Connecticut","2006","May",2691896,1822822,67.7,1744861,64.8,77961,4.3
"19301","Delaware","2006","May",656124,440517,67.1,424709,64.7,15808,3.6
"19302","District of Columbia","2006","May",469711,315173,67.1,296743,63.2,18430,5.8
"19303","Florida","2006","May",14138018,8956067,63.3,8672637,61.3,283430,3.2
"19304","Georgia","2006","May",6893679,4688382,68,4464795,64.8,223587,4.8
"19305","Hawaii","2006","May",959626,637050,66.4,619113,64.5,17937,2.8
"19306","Idaho","2006","May",1082700,746644,69,720450,66.5,26194,3.5
"19307","Illinois","2006","May",9665568,6493394,67.2,6198498,64.1,294896,4.5
"19308","Indiana","2006","May",4790472,3235603,67.5,3068882,64.1,166721,5.2
"19309","Iowa","2006","May",2288903,1656243,72.4,1596495,69.7,59748,3.6
"19310","Kansas","2006","May",2077663,1464124,70.5,1399950,67.4,64174,4.4
"19311","Kentucky","2006","May",3241908,2020818,62.3,1906113,58.8,114705,5.7
"19312","Louisiana","2006","May",3185670,1976921,62.1,1888494,59.3,88427,4.5
"19313","Maine","2006","May",1049820,700190,66.7,668706,63.7,31484,4.5
"19314","Maryland","2006","May",4289562,2961439,69,2845482,66.3,115957,3.9
"19315","Massachusetts","2006","May",5086934,3403803,66.9,3237810,63.6,165993,4.9
"19316","Michigan","2006","May",7761618,5079970,65.4,4725155,60.9,354815,7
"19317","Minnesota","2006","May",3965924,2881784,72.7,2771567,69.9,110217,3.8
"19318","Mississippi","2006","May",2145215,1285901,59.9,1201640,56,84261,6.6
"19319","Missouri","2006","May",4481216,3020437,67.4,2876885,64.2,143552,4.8
"19320","Montana","2006","May",738094,494598,67,476914,64.6,17684,3.6
"19321","Nebraska","2006","May",1332250,968670,72.7,938754,70.5,29916,3.1
"19322","Nevada","2006","May",1875961,1279326,68.2,1227869,65.5,51457,4
"19323","New Hampshire","2006","May",1030955,730488,70.9,706374,68.5,24114,3.3
"19324","New Jersey","2006","May",6653548,4441574,66.8,4225173,63.5,216401,4.9
"19325","New Mexico","2006","May",1458612,927551,63.6,889529,61,38022,4.1
"19326","New York","2006","May",15085944,9509408,63,9063940,60.1,445468,4.7
"19329","North Dakota","2006","May",493588,360104,73,348589,70.6,11515,3.2
"19330","Ohio","2006","May",8852737,5927581,67,5611755,63.4,315826,5.3
"19331","Oklahoma","2006","May",2686494,1711255,63.7,1644014,61.2,67241,3.9
"19332","Oregon","2006","May",2869684,1876853,65.4,1777989,62,98864,5.3
"19333","Pennsylvania","2006","May",9758456,6282626,64.4,5992594,61.4,290032,4.6
"19334","Rhode Island","2006","May",837393,571957,68.3,543758,64.9,28199,4.9
"19335","South Carolina","2006","May",3296309,2103363,63.8,1965834,59.6,137529,6.5
"19336","South Dakota","2006","May",596155,433398,72.7,420302,70.5,13096,3
"19337","Tennessee","2006","May",4683186,3020260,64.5,2856721,61,163539,5.4
"19338","Texas","2006","May",16950545,11292715,66.6,10722253,63.3,570462,5.1
"19339","Utah","2006","May",1828395,1313880,71.9,1274376,69.7,39504,3
"19340","Vermont","2006","May",498974,356836,71.5,344103,69,12733,3.6
"19341","Virginia","2006","May",5779056,3963948,68.6,3842258,66.5,121690,3.1
"19342","Washington","2006","May",4903582,3314569,67.6,3147588,64.2,166981,5
"19343","West Virginia","2006","May",1439305,805395,56,765535,53.2,39860,4.9
"19344","Wisconsin","2006","May",4318785,3051990,70.7,2909280,67.4,142710,4.7
"19345","Wyoming","2006","May",395045,280629,71,271907,68.8,8722,3.1
"19346","Alabama","2006","June",3520846,2165680,61.5,2077457,59,88223,4.1
"19347","Alaska","2006","June",490098,350235,71.5,327122,66.7,23113,6.6
"19348","Arizona","2006","June",4625438,2987807,64.6,2864328,61.9,123479,4.1
"19349","Arkansas","2006","June",2142069,1364309,63.7,1293504,60.4,70805,5.2
"19350","California","2006","June",26988015,17627073,65.3,16763184,62.1,863889,4.9
"19352","Colorado","2006","June",3617894,2622082,72.5,2509534,69.4,112548,4.3
"19353","Connecticut","2006","June",2692943,1825608,67.8,1747190,64.9,78418,4.3
"19354","Delaware","2006","June",657087,440770,67.1,425016,64.7,15754,3.6
"19355","District of Columbia","2006","June",469865,315895,67.2,297377,63.3,18518,5.9
"19356","Florida","2006","June",14157040,8980865,63.4,8694097,61.4,286768,3.2
"19357","Georgia","2006","June",6906479,4700322,68.1,4476178,64.8,224144,4.8
"19358","Hawaii","2006","June",960179,637824,66.4,620172,64.6,17652,2.8
"19359","Idaho","2006","June",1085185,746972,68.8,721389,66.5,25583,3.4
"19360","Illinois","2006","June",9669194,6511059,67.3,6219777,64.3,291282,4.5
"19361","Indiana","2006","June",4793709,3235472,67.5,3067537,64,167935,5.2
"19362","Iowa","2006","June",2290118,1660041,72.5,1599499,69.8,60542,3.6
"19363","Kansas","2006","June",2078448,1465269,70.5,1401257,67.4,64012,4.4
"19364","Kentucky","2006","June",3245138,2024028,62.4,1909057,58.8,114971,5.7
"19365","Louisiana","2006","June",3190999,1977849,62,1891660,59.3,86189,4.4
"19366","Maine","2006","June",1050414,700682,66.7,668695,63.7,31987,4.6
"19367","Maryland","2006","June",4292028,2965131,69.1,2846933,66.3,118198,4
"19368","Massachusetts","2006","June",5088681,3408638,67,3242529,63.7,166109,4.9
"19369","Michigan","2006","June",7763097,5075976,65.4,4718641,60.8,357335,7
"19370","Minnesota","2006","June",3969353,2881181,72.6,2771207,69.8,109974,3.8
"19371","Mississippi","2006","June",2150308,1287247,59.9,1204077,56,83170,6.5
"19372","Missouri","2006","June",4485298,3026070,67.5,2880923,64.2,145147,4.8
"19373","Montana","2006","June",739054,495267,67,477759,64.6,17508,3.5
"19374","Nebraska","2006","June",1332910,969240,72.7,939181,70.5,30059,3.1
"19375","Nevada","2006","June",1881059,1285119,68.3,1233072,65.6,52047,4
"19376","New Hampshire","2006","June",1032038,731382,70.9,706801,68.5,24581,3.4
"19377","New Jersey","2006","June",6654358,4443885,66.8,4227757,63.5,216128,4.9
"19378","New Mexico","2006","June",1460283,928846,63.6,890366,61,38480,4.1
"19379","New York","2006","June",15090203,9504503,63,9063376,60.1,441127,4.6
"19382","North Dakota","2006","June",493775,360660,73,349086,70.7,11574,3.2
"19383","Ohio","2006","June",8855024,5937592,67.1,5617214,63.4,320378,5.4
"19384","Oklahoma","2006","June",2689206,1711989,63.7,1644703,61.2,67286,3.9
"19385","Oregon","2006","June",2873984,1882505,65.5,1783077,62,99428,5.3
"19386","Pennsylvania","2006","June",9762883,6287486,64.4,5995697,61.4,291789,4.6
"19387","Rhode Island","2006","June",837343,572312,68.3,544134,65,28178,4.9
"19388","South Carolina","2006","June",3301995,2104757,63.7,1966807,59.6,137950,6.6
"19389","South Dakota","2006","June",596809,434417,72.8,421051,70.6,13366,3.1
"19390","Tennessee","2006","June",4689861,3035005,64.7,2869982,61.2,165023,5.4
"19391","Texas","2006","June",16999573,11306651,66.5,10741372,63.2,565279,5
"19392","Utah","2006","June",1833309,1317843,71.9,1279068,69.8,38775,2.9
"19393","Vermont","2006","June",499285,357061,71.5,344070,68.9,12991,3.6
"19394","Virginia","2006","June",5785117,3971051,68.6,3847720,66.5,123331,3.1
"19395","Washington","2006","June",4911633,3319634,67.6,3150846,64.2,168788,5.1
"19396","West Virginia","2006","June",1439689,806654,56,765599,53.2,41055,5.1
"19397","Wisconsin","2006","June",4321688,3055804,70.7,2911919,67.4,143885,4.7
"19398","Wyoming","2006","June",395531,281137,71.1,272334,68.9,8803,3.1
"19399","Alabama","2006","July",3524489,2168044,61.5,2079826,59,88218,4.1
"19400","Alaska","2006","July",490950,350408,71.4,327420,66.7,22988,6.6
"19401","Arizona","2006","July",4638684,2996654,64.6,2873938,62,122716,4.1
"19402","Arkansas","2006","July",2144577,1363397,63.6,1292334,60.3,71063,5.2
"19403","California","2006","July",27001429,17646338,65.4,16784652,62.2,861686,4.9
"19405","Colorado","2006","July",3623832,2627280,72.5,2515573,69.4,111707,4.3
"19406","Connecticut","2006","July",2694086,1828560,67.9,1749540,64.9,79020,4.3
"19407","Delaware","2006","July",658065,441106,67,425380,64.6,15726,3.6
"19408","District of Columbia","2006","July",470029,316550,67.3,297998,63.4,18552,5.9
"19409","Florida","2006","July",14176539,9005742,63.5,8715851,61.5,289891,3.2
"19410","Georgia","2006","July",6919458,4712663,68.1,4488741,64.9,223922,4.8
"19411","Hawaii","2006","July",960755,638641,66.5,621553,64.7,17088,2.7
"19412","Idaho","2006","July",1087671,747415,68.7,722300,66.4,25115,3.4
"19413","Illinois","2006","July",9673133,6530056,67.5,6242001,64.5,288055,4.4
"19414","Indiana","2006","July",4797047,3234849,67.4,3067098,63.9,167751,5.2
"19415","Iowa","2006","July",2291405,1663198,72.6,1601709,69.9,61489,3.7
